index	proportionOn	meanEdist	meanMu.on.dim1	meanMu.on.dim2
228	1	1.91	1.73	-0.00643
215	0.998	5.94	5.88	-0.0341
220	0.996	5.35	5.27	0.0208
152	0.88	1.77	1.23	-0.0198
130	0.849	2.63	1.7	-0.0957
179	0.69	3.19	3.1	0.0227
177	0.381	3.19	3.07	0.0167
122	0.313	2.66	2.53	0.0259
31	0.102	2.66	1.33	-0.114
129	0.0968	2.34	1.17	0.0415
120	0.0911	2.36	1.47	0.0543
48	0.0809	2.31	-0.158	0.00877
113	0.0689	2.3	-0.703	0.0477
214	0.0675	1.99	1.84	0.0759
8	0.056	1.92	0.376	-0.114
171	0.0542	1.56	1.11	0.114
98	0.0533	2.23	-1.28	0.187
71	0.0511	2.09	0.824	-0.0304
115	0.0489	1.62	-1.34	-0.0583
9	0.0471	1.93	0.0538	-0.0465
172	0.0453	1.23	0.9	-0.0468
141	0.0449	1.62	1.01	-0.00179
85	0.044	1.98	1.04	-0.0259
109	0.0404	1.74	-1.39	-0.123
2	0.0395	1.97	-1.48	-0.15
84	0.0386	2.01	0.708	0.0532
128	0.0378	1.98	0.54	-0.29
178	0.0378	2.23	2.09	0.0157
216	0.0373	2.56	2.36	0.104
70	0.0351	1.76	0.513	-0.0181
123	0.0347	1.54	0.883	0.0369
25	0.0338	1.86	0.769	-0.00361
44	0.032	1.92	-1.2	0.112
49	0.0307	1.8	0.606	0.0239
217	0.0307	2.36	2.17	0.0732
87	0.0293	1.77	0.578	-0.0759
221	0.0293	2.58	2.4	0.0632
30	0.0289	1.76	0.322	-0.163
4	0.0284	1.57	-0.614	0.0975
50	0.028	1.81	0.755	-0.00114
80	0.028	1.67	-0.672	0.137
52	0.0271	1.63	0.571	0.0102
78	0.0267	1.95	-0.348	0.0312
112	0.0262	1.55	0.561	-0.0645
139	0.0262	1.55	1.08	-0.0264
16	0.0258	1.89	0.629	0.0081
91	0.0258	1.96	0.11	0.374
144	0.0253	1.7	0.0718	-0.00853
127	0.0244	1.87	0.849	0.0985
167	0.0244	1.55	0.893	-0.0411
35	0.024	1.62	0.368	0.236
170	0.024	1.43	0.977	0.139
222	0.024	1.93	1.57	0.00343
223	0.024	1.94	1.63	-0.0455
38	0.0231	1.89	-0.0334	0.204
68	0.0231	1.7	0.503	0.0618
69	0.0231	1.57	0.217	-0.156
86	0.0227	1.92	0.565	0.0345
74	0.0222	1.65	-0.732	0.216
94	0.0222	1.99	-1.09	0.0147
73	0.0213	1.35	-0.0461	0.349
108	0.0213	1.46	0.0246	-0.0732
14	0.0209	1.59	0.0871	0.0424
10	0.0204	1.57	0.198	-0.164
23	0.0204	1.7	-1.14	-0.116
40	0.0204	1.81	0.157	-0.153
47	0.0204	1.68	0.584	0.0257
89	0.0204	1.35	0.0282	-0.11
92	0.0204	1.45	-0.1	-0.155
13	0.02	1.66	0.464	0.00947
20	0.02	1.57	0.0157	-0.00206
46	0.02	1.52	0.207	0.336
28	0.0195	1.48	-0.742	-0.032
57	0.0195	1.57	0.381	0.21
83	0.0195	1.71	0.17	0.183
174	0.0195	1.08	0.814	-0.0597
72	0.0191	1.58	-0.0654	0.0744
81	0.0191	1.56	-0.224	-0.0792
105	0.0191	1.31	0.376	-0.0223
6	0.0187	1.22	-0.652	-0.339
53	0.0187	1.6	0.0874	0.0243
62	0.0187	1.54	0.0429	0.118
76	0.0187	1.47	-0.941	0.0194
95	0.0187	1.28	-0.576	-0.0886
106	0.0187	1.56	0.302	0.196
131	0.0187	1.24	0.468	-0.153
135	0.0187	1.58	0.948	-0.0798
161	0.0187	1.08	0.372	-0.199
208	0.0187	1.52	0.324	-0.447
29	0.0182	1.57	0.0573	0.352
39	0.0182	1.43	-0.351	0.00705
58	0.0182	1.31	-0.00384	-0.183
61	0.0182	1.76	0.32	0.0434
79	0.0182	1.46	-0.173	0.264
136	0.0182	1.53	0.951	-0.264
60	0.0178	1.66	-0.85	-0.337
66	0.0178	1.35	0.111	-0.14
5	0.0173	1.52	0.115	0.0731
32	0.0173	1.47	-0.411	0.127
36	0.0173	1.53	0.344	0.347
56	0.0173	1.52	-0.383	0.0321
65	0.0173	1.83	0.177	0.403
26	0.0169	1.5	0.376	0.255
55	0.0169	1.46	-0.193	-0.0595
114	0.0169	1.28	-0.178	-0.0151
164	0.0169	1.43	0.488	-0.23
169	0.0169	1.38	0.544	-0.0476
0	0.0164	1.67	0.186	-0.239
175	0.0164	1.09	0.919	0.0266
93	0.016	1.47	-0.594	-0.0712
97	0.016	1.29	-0.398	0.0147
173	0.016	1.07	0.901	0.0336
41	0.0155	1.41	0.142	-0.351
100	0.0155	1.44	-0.087	-0.00683
102	0.0155	1.35	-0.397	0.151
181	0.0155	1.37	-0.51	0.131
209	0.0155	1.35	0.214	-0.204
227	0.0155	1.98	1.73	-0.217
3	0.0151	1.12	0.347	0.129
21	0.0151	1.52	0.161	-0.189
88	0.0151	1.51	0.181	0.224
110	0.0151	1.76	-0.756	-0.0554
119	0.0151	1.47	0.379	0.232
134	0.0151	1.3	-0.0749	-0.0011
151	0.0151	1.27	0.216	0.018
1	0.0147	1.75	-0.409	0.129
12	0.0147	1.59	-0.145	-0.1
101	0.0147	1.18	-0.656	-0.137
116	0.0147	1.42	-0.733	0.0466
117	0.0147	1.56	-0.475	0.394
153	0.0147	1.26	0.722	-0.0612
168	0.0147	1.42	0.545	0.184
225	0.0147	1.75	1.53	-0.255
18	0.0142	1.82	-0.215	-0.242
64	0.0142	1.66	0.0729	-0.262
67	0.0142	1.75	0.425	-0.18
111	0.0142	1.31	0.52	0.201
118	0.0142	1.21	0.549	-0.0287
149	0.0142	1.49	-0.671	0.123
180	0.0142	1.27	-0.141	0.124
183	0.0142	1.06	0.0358	-0.202
59	0.0138	1.24	0.269	0.0483
142	0.0138	1.47	-0.388	0.0915
207	0.0138	1.53	0.127	0.0443
45	0.0133	1.81	0.196	-0.146
195	0.0133	1.59	0.189	-0.19
34	0.0129	1.6	-0.0891	-0.00592
140	0.0129	1.33	-0.0408	-0.327
212	0.0129	1.39	1.1	0.034
42	0.0124	1.14	-0.156	-0.162
51	0.0124	1.22	0.15	0.074
96	0.0124	1.03	-0.458	0.123
166	0.0124	1.24	0.355	-0.274
54	0.012	1.4	-0.108	-0.235
176	0.012	0.754	0.512	0.159
201	0.012	1.11	-0.313	0.228
11	0.0116	1.52	-0.144	0.241
24	0.0116	1.43	-0.497	-0.312
27	0.0116	1.42	0.493	0.239
104	0.0116	1.08	-0.267	-0.121
125	0.0116	1.15	-0.649	-0.142
154	0.0116	0.946	0.365	0.0922
213	0.0116	1.53	0.991	-0.13
33	0.0111	1.03	0.144	-0.0209
103	0.0111	0.925	-0.27	-0.062
121	0.0111	1.47	0.57	-0.0426
43	0.0107	1.18	0.291	0.349
17	0.0102	0.969	0.307	-0.0733
82	0.0102	1.01	0.187	-0.117
124	0.0102	1.25	0.0285	0.2
133	0.0102	1.26	-0.27	-0.129
155	0.0102	0.992	0.454	-0.181
218	0.0102	2.21	1.99	-0.0262
126	0.00977	1.23	-0.247	0.108
138	0.00977	1.25	0.164	-0.00576
184	0.00977	0.971	-0.0221	0.306
132	0.00933	1.62	-0.847	-0.0766
160	0.00933	1.29	-0.168	-0.00137
191	0.00933	1.11	0.112	0.0126
202	0.00933	1.23	-0.0885	-0.041
22	0.00888	1.56	0.811	-0.119
90	0.00888	1.4	-0.659	-0.134
146	0.00888	1.24	0.463	0.0344
156	0.00888	0.898	-0.477	-0.369
165	0.00888	0.938	0.755	-0.0588
182	0.00888	1.19	-0.25	-0.0508
198	0.00888	1.27	-0.557	0.0503
137	0.00844	1.22	0.495	-0.234
143	0.00844	1.47	0.0246	-0.392
145	0.00844	1.5	-0.288	0.348
203	0.00844	1.09	-0.271	0.0977
63	0.008	1.2	-0.494	0.232
148	0.00755	1.12	0.31	-0.48
150	0.00755	1.21	0.309	0.00749
193	0.00755	0.824	0.306	-0.0937
210	0.00755	0.793	0.153	-0.0933
219	0.00755	1.49	-0.423	0.227
19	0.00711	1.37	0.23	-0.0224
75	0.00711	0.967	0.384	0.065
185	0.00711	1.12	-0.467	0.0196
15	0.00666	1.2	-0.292	0.225
199	0.00666	1.81	1.26	0.0544
158	0.00622	0.761	-0.419	-0.124
205	0.00578	0.822	0.28	0.433
107	0.00533	0.599	0.274	0.0502
159	0.00533	0.631	-0.267	-0.12
162	0.00533	0.89	0.403	-0.0742
186	0.00533	0.963	-0.507	0.0245
187	0.00533	0.717	0.286	-0.0777
200	0.00533	1.02	0.876	-0.127
206	0.00533	0.879	-0.00371	-0.394
99	0.00489	1.28	-0.167	-0.427
204	0.00489	1.08	-0.317	0.187
211	0.00489	0.782	0.571	0.123
196	0.00444	0.868	-0.158	0.347
77	0.004	1.11	-0.287	-0.135
189	0.004	0.672	0.173	-0.248
190	0.004	0.47	-0.0963	0.0612
194	0.004	0.743	0.016	0.216
224	0.004	1.17	0.876	-0.198
157	0.00355	0.554	-0.244	-0.00358
37	0.00311	0.99	0.0345	0.159
197	0.00311	1.08	-0.354	0.244
7	0.00267	0.62	-0.24	0.323
163	0.00267	0.457	0.313	-0.00251
188	0.00267	1.01	-0.0272	-0.121
192	0.00178	0.424	0.191	0.0207
147	0.00133	1.23	-0.136	0.0151
226	0.00133	1.39	1.16	-0.164
