index	proportionOn	meanEdist	meanMu.on.dim1	meanMu.on.dim2
0	0.0222	1.79	0.519	-0.911
1	0.213	1.91	1.39	-0.0059
2	0.0178	1.64	-0.544	0.0185
3	0.0164	1.68	0.423	0.628
4	0.0116	1.67	-0.38	-0.0874
5	0.0142	1.5	-0.669	-0.0712
6	0.0102	0.957	0.209	-0.275
7	0.0173	1.31	-0.0951	-0.0247
8	0.0124	1.47	-0.233	-0.00277
9	0.0302	1.76	0.942	0.146
10	0.00977	1.48	0.47	0.397
11	0.00755	1.29	0.328	-0.186
12	0.0138	1.25	-0.164	-0.241
13	0.0124	1.67	0.253	-0.101
14	0.0204	1.84	0.822	0.363
15	0.036	1.88	0.0733	-0.808
16	0.0164	1.51	0.661	-0.299
17	0.064	2.2	-1	1.58
18	0.0169	1.53	-0.495	-0.0286
19	0.0209	1.7	0.209	0.134
20	0.0218	1.73	-0.346	-0.169
21	0.0142	1.48	0.125	-0.351
22	0.0164	1.39	0.114	-0.153
23	0.0142	1.68	0.101	-0.133
24	0.0182	1.51	-0.362	-0.0339
25	0.0209	1.76	0.224	0.184
26	0.0138	1.59	-0.301	-0.092
27	0.0147	1.65	-0.305	0.111
28	0.0142	1.57	-0.178	0.345
29	0.0253	1.85	0.412	-0.00563
30	0.0187	1.56	-0.153	0.232
31	0.0138	1.49	-0.111	0.161
32	0.0178	2.07	1.13	-0.125
33	0.0218	1.73	-0.856	-0.225
34	0.012	1.71	-0.864	0.17
35	0.0182	1.77	0.265	-0.061
36	0.02	1.73	-0.579	-0.032
37	0.0107	1.6	0.311	0.133
38	0.0164	1.75	-0.263	0.369
39	0.0147	1.59	0.00963	-0.317
40	0.0155	1.23	0.172	-0.107
41	0.0187	1.66	-0.303	0.318
42	0.0182	1.31	-0.0192	-0.196
43	0.0191	1.65	0.704	0.38
44	0.008	1.74	0.438	0.54
45	0.0191	1.69	-0.306	-0.105
46	0.0182	1.86	-0.0576	-0.0167
47	0.0164	1.49	0.268	0.108
48	0.0267	1.79	-0.786	-0.343
49	0.0155	1.55	0.641	-0.48
50	0.0213	1.81	0.686	0.0657
51	0.0209	1.59	-0.483	0.255
52	0.016	1.53	0.312	-0.102
53	0.0187	1.59	-0.175	-0.117
54	0.0173	1.93	-0.691	0.438
55	0.0138	1.44	0.233	0.0894
56	0.0133	1.41	-0.872	-0.172
57	0.00711	1.25	0.569	0.0314
58	0.0244	1.35	-1.05	0.0956
59	0.024	1.77	-0.0808	-0.0175
60	0.00977	1.56	0.0661	0.23
61	0.008	0.817	0.0252	0.0952
62	0.0258	2.02	-0.394	0.0676
63	0.012	1.12	0.256	-0.0761
64	0.0116	1.26	-0.466	-0.136
65	0.0253	2.21	0.6	-0.137
66	0.00533	1.11	0.0425	0.0273
67	0.0138	1.41	0.412	0.216
68	0.012	1.65	0.344	-0.081
69	0.00267	0.554	0.367	-0.098
70	0.0138	1.25	-0.228	0.178
71	0.0133	1.29	-0.238	-0.212
72	0.0169	1.48	-0.137	0.182
73	0.016	1.66	0.122	-0.298
74	0.0173	1.31	0.0278	-0.39
75	0.00711	1.24	-0.186	0.283
76	0.0138	1.9	-1.26	-0.244
77	0.0169	1.59	-0.042	0.311
78	0.0147	1.55	0.0957	-0.278
79	0.0151	1.63	-0.137	0.365
80	0.0227	1.73	0.174	0.34
81	0.0284	1.91	0.126	-0.0376
82	0.0173	1.67	0.419	-0.273
83	0.0204	1.58	-0.564	0.029
84	0.02	1.52	0.00151	0.0386
85	0.016	1.74	0.0253	0.0171
86	0.0195	1.91	0.781	0.195
87	0.0431	2	1.64	-0.0556
88	0.0173	1.75	0.172	1.09
89	0.0182	1.8	0.502	-0.232
90	0.0138	1.69	0.396	-0.392
91	0.0262	1.81	0.0652	0.0361
92	0.00578	1.33	0.0256	0.111
93	0.0169	1.6	-0.791	-0.218
94	0.004	0.784	0.48	0.148
95	0.0209	1.59	-1.29	-0.00512
96	0.0182	1.74	0.231	-0.441
97	0.0133	1.51	0.782	0.0802
98	0.00888	1.5	-0.722	-0.156
99	0.0129	1.75	-0.207	-0.488
100	0.0267	1.74	0.859	-0.177
101	0.0151	1.97	-1.05	0.174
102	0.0107	1.46	-0.257	-0.0721
103	0.0222	1.9	0.482	-0.0429
104	0.0204	1.88	0.935	0.0776
105	0.0382	1.83	-0.244	-0.12
106	0.0187	1.7	-0.429	0.103
107	0.00711	1.03	0.678	0.0133
108	0.0178	1.58	-0.443	-0.218
109	0.0102	1.17	0.314	-0.166
110	0.0138	1.62	-0.0149	0.463
111	0.0116	1.31	-0.49	0.102
112	0.0173	1.61	0.437	0.00453
113	0.00578	1.23	0.427	0.0711
114	0.0213	1.62	-1.06	0.0539
115	0.0133	1.7	-0.379	-0.157
116	0.0138	1.59	-0.375	0.288
117	0.0124	1.4	0.304	-0.141
118	0.0151	1.41	0.436	0.331
119	0.016	1.89	0.137	-0.123
120	0.0169	1.77	0.464	-0.125
121	0.00489	1.07	-0.0529	0.209
122	0.0191	1.63	-0.439	0.463
123	0.0116	1.56	-0.395	-0.17
124	0.0218	1.56	-0.729	-0.233
125	0.0182	1.63	0.5	0.305
126	0.0133	1.78	-0.57	0.253
127	0.0191	1.95	0.169	-0.0207
128	0.0164	1.55	-0.564	0.539
129	0.0107	1.28	0.104	0.539
130	0.0151	1.73	0.362	0.322
131	0.024	1.85	-0.494	-0.67
132	0.0151	1.45	-0.305	0.284
133	0.012	1.62	0.315	1.06
134	0.0111	1.55	-0.569	0.645
135	0.0164	1.58	-0.358	0.745
136	0.0138	1.57	-0.0504	-0.285
137	0.0187	1.55	-0.00364	0.179
138	0.0116	1.71	0.641	-0.45
139	0.211	2.15	-1.69	-0.0866
140	0.0151	1.38	-0.766	-0.136
141	0.0129	1.67	-0.497	-0.402
142	0.0204	1.87	-0.63	-0.157
143	0.0169	1.55	-0.345	0.0868
144	0.0151	1.7	-0.81	-0.0374
145	0.0173	1.58	0.501	-0.273
146	0.0151	1.73	-0.841	0.122
147	0.0129	1.6	-0.579	-0.336
148	0.0311	1.98	1.03	0.248
149	0.0155	1.48	0.0589	-0.143
150	0.0249	1.53	0.152	-0.785
151	0.0164	1.77	0.296	0.171
152	0.0147	1.6	0.717	-0.234
153	0.0138	1.71	0.627	0.248
154	0.016	1.82	-0.217	-0.35
155	0.0133	1.61	-0.549	-0.288
156	0.0178	1.61	0.555	0.145
157	0.00888	0.816	-0.19	-0.244
158	0.0204	1.42	0.00575	-0.159
159	0.0138	1.82	0.197	0.000979
160	0.00267	0.512	-0.185	0.166
161	0.0284	1.79	0.546	0.497
162	0.0107	1.31	0.312	-0.199
163	0.0298	1.76	-0.2	-0.0453
164	0.028	1.75	1.16	0.691
165	0.02	1.54	0.808	-0.456
166	0.00888	1.28	0.0765	0.139
167	0.0102	1.52	0.248	0.744
168	0.016	1.48	0.352	-0.0374
169	0.123	2.48	0.932	0.234
170	0.0253	1.75	0.447	-0.428
171	0.0449	2.13	-0.877	0.135
172	0.02	1.66	0.164	-0.22
173	0.0116	1.66	0.276	0.557
174	0.016	1.23	0.18	0.00675
175	0.016	1.5	0.666	-0.153
176	0.0178	1.53	0.187	-0.0386
177	0.0129	1.74	-0.395	0.327
178	0.0187	1.56	-0.0831	0.239
179	0.00888	1.2	-0.0198	0.0381
180	0.0133	1.64	-0.12	0.687
181	0.0124	1.46	-0.116	-0.447
182	0.0138	1.49	-0.152	0.898
183	0.0178	1.58	-0.986	0.0491
184	0.0204	1.86	0.988	0.288
185	0.0155	1.54	0.177	-0.551
186	0.00977	0.869	-0.417	-0.0266
187	0.0116	1.62	0.253	-0.242
188	0.0142	1.47	-0.419	0.439
189	0.0204	1.63	-0.302	0.0826
190	0.0151	1.53	0.0939	-0.0602
191	0.00888	1.22	-0.158	0.189
192	0.00977	1.35	-0.34	0.197
193	0.0449	2.21	1.21	-0.209
194	0.0138	1.26	-0.126	0.253
195	0.0102	1.54	-0.464	0.397
196	0.00533	0.863	-0.587	-0.0305
197	0.00489	0.838	-0.0888	0.224
198	0.0164	1.56	0.994	0.245
199	0.0164	1.55	-0.253	-0.145
200	0.0191	1.75	-1.09	-0.614
201	0.0253	1.72	-0.527	-0.42
202	0.0173	1.48	0.109	-0.139
203	0.0138	1.47	-0.0625	-0.395
204	0.024	2	-1.15	-0.813
205	0.0213	1.74	-0.319	-0.0147
206	0.0142	1.47	-0.22	0.013
207	0.0107	1.22	-0.243	0.357
208	0.0164	1.62	-0.0492	-0.29
209	0.0138	1.45	-0.173	-0.271
210	0.0102	1.16	0.22	0.141
211	0.0138	1.45	0.683	0.228
212	0.0262	1.83	0.0315	0.779
213	0.012	1.74	0.0559	0.287
214	0.0187	1.58	0.328	-0.221
215	0.0138	1.46	-0.0282	-0.249
216	0.02	1.42	-0.506	0.104
217	0.0147	1.37	0.189	-0.178
218	0.0187	1.65	-0.202	-0.219
219	0.0187	2.04	-1.35	0.28
220	0.0169	1.55	0.0128	0.103
221	0.0231	1.81	0.978	0.0402
222	0.016	1.82	-0.958	0.102
223	0.0138	1.67	-0.266	0.377
224	0.0107	1.28	0.278	0.0898
225	0.0169	1.84	0.137	-0.403
226	0.0235	1.73	0.535	-0.138
227	0.0129	1.71	-0.435	0.107
228	0.0151	1.72	0.422	-0.0269
229	0.00888	1.29	-0.307	-0.298
230	0.0133	1.75	-0.416	0.103
231	0.012	1.6	0.0181	-0.921
232	0.02	1.79	-0.247	-0.194
233	0.0813	2.6	-0.515	-0.208
234	0.00622	1.07	0.255	0.222
235	0.0222	1.65	0.254	0.327
236	0.00355	0.723	0.527	-0.279
237	0.0204	1.57	0.0604	0.12
238	0.0133	1.36	0.0154	-0.158
239	0.00933	1.56	0.106	-0.322
240	0.0231	1.98	-1.48	-0.0882
241	0.0249	1.54	0.246	0.0469
242	0.00711	1.08	-0.191	-0.156
243	0.0107	1.65	-0.0464	0.33
244	0.0253	2.13	0.854	0.43
245	0.016	1.67	-0.16	0.116
246	0.0235	1.71	0.203	-0.0492
247	0.0204	1.98	-0.173	-0.38
248	0.153	2.52	0.357	0.0677
249	0.0222	1.84	-0.367	0.196
250	0.00311	0.971	0.381	0.106
251	0.409	2.98	2.03	-0.0963
252	0.0178	1.34	-0.1	-0.000582
253	0.0138	2.01	0.0289	0.214
254	0.02	1.32	0.172	-0.236
255	0.0147	1.61	0.0367	0.0181
256	0.0133	1.44	-0.0368	-0.29
257	0.00844	1.24	0.152	-0.254
258	0.0155	1.22	-0.0572	0.118
259	0.0107	1.7	0.0302	0.0214
260	0.0151	1.25	0.0941	0.265
261	0.0151	1.82	-0.385	0.447
262	0.0116	1.31	0.0959	0.491
263	0.0267	2.01	-1.41	0.311
264	0.0129	1.5	0.168	0.0633
265	0.0116	1.47	-0.554	-0.492
266	0.0124	1.31	0.0941	-0.443
267	0.0222	1.97	-0.789	0.799
268	0.024	1.89	-0.801	0.788
269	0.0151	1.89	1.11	-0.22
270	0.0187	1.48	-0.474	0.31
271	0.0187	1.51	0.713	0.212
272	0.0138	1.59	-0.44	-0.14
273	0.00622	1.17	-0.311	-0.164
274	0.012	1.57	1	0.0426
275	0.0555	2.24	-0.00949	-0.0932
276	0.0431	2.09	-1.02	-0.0257
277	0.0178	1.55	0.629	0.108
278	0.0209	1.72	0.543	-0.125
279	0.00578	1.19	-0.414	-0.257
280	0.0147	1.44	0.798	-0.154
281	0.0173	1.72	0.109	-0.229
282	0.0253	2.08	0.641	0.0985
283	0.00844	1.45	0.0442	-0.318
284	0.0129	1.39	-0.394	0.298
285	0.0138	1.6	0.114	0.15
286	0.00666	0.964	-0.355	-0.271
287	0.0107	1.64	-0.0502	-0.097
288	0.00933	1.55	-0.69	-0.326
289	0.0298	2.18	1.1	-0.0962
290	0.0418	2.18	1.02	-1.09
291	0.0129	1.59	-0.488	-0.11
292	0.0178	1.44	0.217	-0.00208
293	0.00888	1.55	0.824	-0.0662
294	0.0155	1.47	-0.187	0.366
295	0.0249	1.99	-0.878	0.0833
296	0.024	1.9	-0.591	-0.349
297	0.0413	2.05	-0.765	0.0282
298	0.0147	1.68	0.31	-0.383
299	0.0546	2.34	-1.67	-0.0285
300	0.012	1.39	0.333	0.051
301	0.0133	1.53	0.0902	-0.463
302	0.0173	1.62	-0.285	-0.187
303	0.0164	1.61	0.0899	-0.153
304	0.158	2.64	1.06	0.122
305	0.0222	1.64	0.124	0.125
306	0.45	2.99	-0.863	0.103
307	0.00178	0.73	0.466	0.295
308	0.152	2.71	0.405	0.0382
309	0.0187	1.59	-0.0625	0.563
310	0.0164	1.33	0.115	0.0623
311	0.0213	1.9	-0.37	0.449
312	0.0107	1.29	-0.382	-0.329
