index	proportionOn	meanEdist	meanMu.on.dim1	meanMu.on.dim2
313	0.012	1.53	-0.989	-0.102
314	0.016	1.65	0.334	0.00968
315	0.422	2.95	-1.74	0.044
316	0.0147	1.46	0.372	-0.193
317	0.0231	2.19	0.107	0.384
318	0.0147	1.5	-0.158	0.795
319	0.0142	1.6	-0.925	0.439
320	0.02	1.54	-0.278	0.917
321	0.0129	1.63	0.615	0.132
322	0.016	1.45	-0.0692	0.407
323	0.0155	1.51	-0.283	0.0549
324	0.0151	1.46	0.0175	-0.245
325	0.0129	1.34	-0.532	0.0751
326	0.0138	1.57	-0.708	0.125
327	0.016	1.38	-0.249	-0.233
328	0.0155	1.79	-0.683	0.254
329	0.0116	1.45	-0.535	-0.312
330	0.0147	1.33	0.681	0.0603
331	0.0231	1.78	0.453	-0.0645
332	0.0111	1.51	-0.429	-0.322
333	0.0182	1.61	-0.267	0.829
334	0.0262	1.77	0.631	0.0686
335	0.0244	1.88	-1.36	0.258
336	0.0107	1.71	0.433	-0.195
337	0.0178	1.73	-0.478	0.385
338	0.0249	2.15	-1.34	0.0224
339	0.02	1.64	0.111	-0.056
340	0.0515	2.48	-0.215	-0.0593
341	0.0191	1.71	0.0949	0.0902
342	0.0151	1.37	0.587	-0.052
343	0.0107	1.42	-0.708	0.207
344	0.0102	1.45	-0.144	0.245
345	0.0404	2.35	-0.23	-0.057
346	0.0289	1.79	-0.0133	0.283
347	0.0129	1.31	-0.417	0.0383
348	0.0178	1.41	-0.944	0.0598
349	0.0116	1.62	0.597	-0.0876
350	0.0262	1.56	0.0872	0.0494
351	0.0724	2.26	-0.605	0.0515
352	0.0164	1.8	0.0647	-0.169
353	0.00133	0.787	0.0282	0.241
354	0.00622	1.21	-0.323	0.0348
355	0.0129	1.46	0.292	-0.533
356	0.0204	1.39	0.15	-0.147
357	0.0151	1.54	0.255	0.212
358	0.0151	1.35	-0.098	-0.314
359	0.0129	1.46	-0.229	0.287
360	0.278	3.02	-0.0149	-0.00661
361	0.0293	2	0.446	0.241
362	0.0169	1.59	-0.58	-0.437
363	0.0129	1.6	0.727	-0.41
364	0.0235	1.75	-0.899	0.167
365	0.0187	1.9	-0.214	-0.26
366	0.00666	1.04	-0.267	0.432
367	0.0227	1.82	-0.766	0.00356
368	0.0187	1.65	-0.365	-0.227
369	0.0315	2.13	-0.254	0.0627
370	0.0107	1.32	0.17	0.274
371	0.0102	1.01	0.301	0.0571
372	0.0116	1.57	0.354	-0.16
373	0.0915	2.41	-1.99	0.062
374	0.348	2.55	-2.25	-0.0288
375	0.0235	1.68	-0.509	0.768
376	0.0107	1.59	-0.396	-0.365
377	0.0391	1.85	1.57	-0.0764
378	0.00666	0.932	0.183	0.148
379	0.00222	0.564	-0.11	0.0423
380	0.0253	1.83	-0.163	0.0657
381	0.0133	1.74	-0.521	0.122
382	0.0178	1.64	0.046	0.0828
383	0.00489	1.13	-0.356	-0.319
384	0.00533	0.987	-0.528	0.238
385	0.0138	1.69	0.343	-0.526
386	0.00977	1.41	0.268	-0.0781
387	0.0155	1.7	0.289	-0.0141
388	0.0195	1.73	-0.685	-0.0283
389	0.0267	1.42	0.942	0.0589
390	0.004	0.819	-0.245	-0.192
391	0.00888	1.18	0.63	-0.143
392	0.0151	1.03	-0.69	0.0679
393	0.0129	1.46	-0.505	0.0954
394	0.0124	1.44	0.097	-0.051
395	0.0187	1.45	-0.183	0.0682
396	0.00844	1.35	-0.111	-0.0689
397	0.0275	1.91	-0.351	-0.0282
398	0.000888	0.488	0.303	0.0503
399	0.0187	1.68	0.255	-0.189
400	0.0293	1.85	0.442	-0.563
401	0.0191	1.91	0.907	-0.428
402	0.0142	1.46	-0.344	-0.167
403	0.0173	1.8	-0.919	0.144
404	0.0191	1.54	-0.751	-0.0553
405	0.0133	1.66	0.598	0.064
406	0.0147	1.58	-0.121	-0.12
407	0.0129	1.54	-0.394	-0.188
408	0.0187	2.02	0.446	0.0264
409	0.00933	1.55	0.56	-0.517
410	0.00933	1.23	0.336	-0.0978
411	0.00933	1.38	0.154	0.444
412	0.00755	1.19	0.0433	0.153
413	0.0133	1.29	0.173	0.0337
414	0.012	1.61	0.893	0.203
415	0.0129	1.24	-0.417	-0.122
416	0.0187	1.53	0.336	0.0208
417	0.0262	1.79	-0.665	0.177
418	0.012	1.39	0.185	-0.165
419	0.0107	1.05	0.402	-0.268
420	0.00844	1.13	0.369	0.0646
421	0.00844	1.07	0.0433	-0.0554
422	0.012	1.35	0.424	0.152
423	0.0244	1.64	0.465	-0.255
424	0.0147	1.55	-0.163	0.102
425	0.0182	1.53	-0.431	0.0589
426	0.0107	1.45	-0.598	-0.38
427	0.0258	2.14	-0.405	0.519
428	0.00933	1.23	0.0486	-0.288
429	0.0107	0.986	0.0211	-0.058
430	0.0169	1.63	0.632	-0.216
431	0.016	1.3	0.272	-0.172
432	0.0147	1.52	0.663	0.181
433	0.0138	1.43	0.556	-0.277
434	0.0195	1.4	0.911	-0.248
435	0.0133	1.33	0.817	-0.288
436	0.0227	1.58	0.154	-0.0969
437	0.0133	1.39	0.418	-0.129
438	0.0111	1.66	-0.0487	0.204
439	0.0133	1.14	0.216	-0.0636
440	0.0124	1.31	0.0998	0.243
441	0.0138	1.32	0.46	-0.404
442	0.00977	1.26	0.658	-0.198
443	0.0209	1.73	0.0986	1.39
444	0.0124	1.34	0.408	0.114
445	0.0124	1.56	0.165	1.27
446	0.0124	1.33	-0.422	0.501
447	0.00489	1.06	-0.502	-0.339
448	0.00533	0.888	0.198	-0.413
449	0.00444	1.05	0.682	-0.681
450	0.00267	0.812	0.139	0.12
451	0.012	1.25	-0.581	0.426
452	0.00622	1.55	0.459	1.09
453	0.008	1.13	0.143	0.777
454	0.00711	0.947	0.457	0.288
455	0.00666	1.3	0.301	-0.307
456	0.008	1.13	0.491	0.048
457	0.012	1.18	0.646	0.0318
458	0.0129	1.08	0.347	0.666
459	0.0155	1.62	-0.531	0.273
460	0.0151	1.48	-0.544	0.177
461	0.008	1.39	-0.499	0.00405
462	0.0102	1.01	0.178	-0.0957
463	0.0102	1.36	0.894	0.127
464	0.0187	1.47	-0.682	0.0939
465	0.0164	1.33	-0.042	-0.0478
466	0.0138	1.69	0.225	0.248
467	0.00977	1.35	0.108	0.144
468	0.0289	1.53	1.07	0.376
469	0.036	1.54	1.14	0.24
470	0.00933	1.2	-0.886	0.046
471	0.00533	0.912	-0.0932	-0.224
472	0.00222	0.683	0.483	0.122
473	0.000888	0.507	0.0931	0.416
474	0.008	1.1	0.0593	0.16
475	0.0116	1.35	-0.742	0.129
476	0.00355	0.532	-0.2	-0.172
477	0.02	1.67	-0.342	0.287
478	0.0133	1.29	0.671	-0.108
479	0.0147	1.48	1.03	0.253
480	0.0133	1.25	0.75	0.0248
481	0.00888	0.982	0.475	0.131
482	0.004	0.595	0.495	-0.126
483	0.008	0.912	0.123	-0.101
484	0.004	0.549	-0.0784	0.125
485	0.0275	1.55	-0.424	-0.193
486	0.00578	0.911	0.101	-0.323
487	0.008	0.874	-0.25	0.157
488	0.0178	0.978	-0.392	-0.0556
489	0.004	0.59	-0.255	0.0931
490	0.004	0.608	-0.136	-0.216
491	0.00222	0.783	0.146	0.652
492	0.00888	0.813	0.0746	-0.102
493	0.00222	0.732	-0.422	-0.0576
494	0.244	2.84	2.54	-0.0199
495	0.246	2.76	2.47	0.0268
496	0.0791	2.34	2.13	0.0953
497	0.0102	1.27	-0.496	-0.0577
498	0.0298	1.67	0.162	0.156
499	0.0102	1.14	0.13	-0.178
500	0.0351	1.81	0.221	-0.094
501	0.012	1.12	-0.22	0.142
502	0.00666	0.844	-0.192	0.0411
503	0.00222	0.43	-0.0415	0.128
504	0.00977	0.984	-0.237	0.00929
505	0.00178	0.536	-0.182	0.441
506	0.00178	0.648	-0.474	-0.105
507	0.00133	0.517	-0.319	-0.081
508	0.00355	0.91	-0.576	0.246
509	0.0147	1.42	-1.07	-0.0207
510	0.00578	0.786	-0.0467	0.253
511	0.00355	0.964	0.133	0.108
512	0.008	0.869	-0.558	-0.0318
513	0.00578	0.833	-0.171	-0.46
514	0.0138	1.51	-0.0501	0.422
515	0.0138	1.72	0.336	0.236
516	0.00933	1.32	-0.0745	-0.219
517	0.00933	1.65	0.117	0.0487
518	0.0133	1.41	0.262	0.0405
519	0.02	1.61	-0.174	-0.0399
520	0.00977	1.25	-0.431	-0.303
521	0.0107	1.18	0.0805	0.0169
522	0.0124	1.42	-0.976	0.194
523	0.016	1.41	-0.846	-0.142
524	0.0582	1.94	1.55	-0.0182
525	0.00578	1.16	-0.12	-0.319
526	0.012	1.26	0.398	0.00451
527	0.61	2.59	-2.28	0.0177
528	0.024	1.66	-1.32	-0.144
529	0.00711	1.2	0.501	-0.379
530	0.00844	1.07	0.0379	-0.0961
531	0.157	2.6	1.81	-0.107
532	0.0107	1.35	-0.573	-0.211
533	0.0142	1.23	-0.794	0.378
534	0.00267	0.701	0.219	0.0285
535	0.012	1.55	-0.174	0.174
536	0.0209	1.6	0.253	0.089
537	0.379	2.25	-1.78	-0.0346
538	0.0955	1.96	-1.49	0.178
539	0.0404	1.67	-1.12	0.287
540	0.016	1.18	-0.491	-0.172
541	0.0129	1.3	0.836	-0.183
542	0.0133	1.28	0.861	-0.106
543	0.402	2.61	-2.25	-0.0176
544	0.508	2.63	-2.29	-0.0292
545	0.0151	1.51	0.375	-0.0835
546	0.0173	1.36	0.602	0.0189
547	0.0178	1.4	0.591	0.0686
548	0.0258	1.41	0.652	-0.201
549	0.00844	1.22	-0.599	0.111
550	0.008	1.57	-0.551	0.334
551	0.0333	1.69	0.874	0.134
552	0.0524	1.94	1.23	0.075
553	0.012	1.35	0.428	0.21
554	0.0195	1.24	0.634	-0.00332
555	0.00933	1.53	-0.554	0.0919
556	0.00977	1.18	0.163	-0.0765
557	0.0116	0.924	0.343	0.117
558	0.0475	1.34	0.947	0.0358
559	0.00977	1.29	-0.0029	-0.103
560	0.0107	1.18	-0.287	0.304
561	0.0107	1.29	-0.443	0.00418
562	0.00933	1.21	-0.0922	-0.0975
563	0.00489	1.13	0.166	0.213
564	0.0591	1.71	1.28	0.0394
565	0.0182	1.48	-0.376	0.203
566	0.0204	1.85	-0.683	-0.144
567	0.0213	1.77	-0.746	-0.143
568	0.0213	2.04	0.185	0.0748
569	0.0138	1.46	-0.124	0.0521
570	0.0133	1.26	-0.133	0.115
571	0.0138	1.97	-0.75	-0.159
572	0.00666	1.2	0.247	-0.353
573	0.0369	1.45	1.17	0.00543
574	0.998	6.3	6.19	-0.00749
575	0.0324	3.2	2.96	0.148
576	0.0124	2.04	1.8	0.0843
577	0.012	1.54	0.508	0.0152
578	0.016	1.25	0.155	-0.189
579	0.0382	1.97	0.763	-0.161
580	0.00933	1.47	0.799	0.358
581	0.0116	1.49	0.645	0.0321
582	0.00888	1.57	0.0839	-0.198
583	0.0182	1.51	-0.153	0.0178
584	0.00977	1.38	0.343	-0.0699
585	0.00977	2.07	1.79	-0.194
586	0.0493	2.26	2.01	-0.049
587	0.12	2.62	2.32	0.102
588	0.0138	1.25	-0.505	0.258
589	0.008	1.24	0.952	-0.0172
590	0.00311	0.85	0.0551	-0.0275
591	0.004	1.31	0.556	0.0523
592	0.0418	1.39	-1.07	-0.108
593	0.00311	0.714	0.000329	0.0809
594	0.004	0.773	-0.299	-0.0527
595	0.00311	1.36	-0.308	0.843
596	0.00578	1.18	-0.285	-0.204
597	0.0915	2.15	1.03	0.13
598	0.016	1.63	0.271	-0.316
599	0.00622	0.965	0.155	0.476
600	0.00489	0.878	0.212	0.266
601	0.00888	1.14	0.407	-0.287
602	0.004	1.16	0.922	0.185
603	0.008	0.88	0.397	0.201
604	0.00755	1.22	0.615	0.153
605	0.0116	1.13	0.856	0.068
606	0.004	1.25	0.839	-0.359
607	0.00711	1.42	-0.66	0.113
608	0.00844	0.919	-0.127	0.0868
609	0.00533	0.852	0.71	0.162
610	0.00355	0.929	0.661	0.239
611	0.00888	1.32	1.16	-0.0998
612	0.0524	1.63	1.4	-0.028
613	0.59	1.79	1.71	0.00136
614	0.0253	1.15	-0.929	-0.0868
615	0.0107	0.979	0.43	-0.202
616	0.126	1.21	-0.841	0.0392
617	0.0893	1.6	1.55	-0.00933
618	0.0453	1.96	1.04	-0.0437
619	0.247	1.82	1.76	0.01
620	0.0151	1.24	0.00276	-0.157
621	0.00578	1.1	-0.134	-0.131
622	0.0347	1.41	1.36	0.00401
623	0.00444	1.01	0.874	-0.161
624	0.000888	0.407	0.352	-0.0228
625	0.00533	0.956	-0.124	-0.00802
626	0.00489	0.644	0.0482	0.226
627	0.004	0.893	0.701	0.0571
628	0.00178	0.584	0.555	-0.013
629	0.0275	1.66	1.61	0.0154
630	0.00755	1.13	-0.781	-0.305
631	0.0138	0.93	-0.515	-0.00461
632	0.211	1.95	1.93	-0.0214
633	0.0924	1.92	1.89	-0.0273
634	0.0333	1.56	-1.33	-0.0712
635	0.0191	1.74	-1.22	-0.0812
636	0.012	1.57	1.53	0.144
637	0.667	1.94	1.91	0.00609
638	0.00133	0.755	0.566	-0.00584
639	0.00178	0.45	0.117	0.047
640	0.004	1.21	1.06	0.0651
641	0.378	2.41	2.34	-0.0992
642	0.305	2.41	2.34	-0.0935
643	0.311	2.41	2.34	-0.0891
644	0.00666	1.12	0.182	0.078
645	0.00533	2.22	2.13	-0.219
646	0.00178	2.34	2.03	-0.606
647	0.000888	2.43	2.16	-0.757
648	0.0102	1.49	0.107	-0.135
649	0.000444	0.815	0.617	0.532
650	0.00267	0.426	0.0616	-0.317
651	0.341	2.73	-1.77	0.0143
652	0.036	1.94	1.45	-0.153
653	0.0169	1.82	0.208	-0.0713
654	0.0129	1.27	0.294	0.163
655	0.0107	1.39	0.28	-0.383
656	0.008	1.1	-0.00344	-0.461
657	0.00666	1.38	-0.0467	0.228
658	0.0124	1.09	0.138	0.254
659	0.0129	1.55	-0.11	-0.16
660	0.000888	0.492	0.458	-0.0515
661	0.0116	1.24	-0.0618	-0.454
662	0.00844	1.1	-0.245	0.197
663	0.000888	1.24	1.04	-0.188
664	0.00133	0.763	0.402	-0.0444
665	0.000444	0.109	-0.0876	-0.065
666	0.00178	1.23	0.282	-0.587
667	0.000444	1.59	-1.36	0.815
668	0.926	5.37	5.14	0.442
669	0.0804	4.94	4.72	0.516
670	0.00222	3.17	2.68	1.29
671	0.00355	2.16	1.98	0.437
672	0.012	1.3	0.194	0.484
673	0.0151	1.73	0.204	0.325
674	0.00977	1.12	-0.0133	0.289
675	0.0129	1.55	0.557	0.0995
676	0.0129	1.48	0.203	0.39
677	0.00711	1.21	-0.133	0.0712
678	0.0111	1.41	-0.377	0.444
679	0.0111	1.4	-0.272	0.489
680	0.00933	1.11	0.427	0.359
681	0.00977	2.69	2.24	0.906
682	0.004	2.33	1.94	0.754
683	0.0453	3.67	2.17	2.63
684	0.42	3.84	2.38	2.76
685	0.0124	1.53	-0.597	0.409
686	0.0138	1.67	-0.018	0.659
687	0.0151	1.64	-0.672	0.137
688	0.158	3.7	2.15	2.78
689	0.096	3.57	1.89	2.79
