index	proportionOn	meanEdist	meanMu.on.dim1	meanMu.on.dim2
178	0.0187	1.56	-0.0831	0.239
214	0.0187	1.58	0.328	-0.221
218	0.0187	1.65	-0.202	-0.219
219	0.0187	2.04	-1.35	0.28
270	0.0187	1.48	-0.474	0.31
271	0.0187	1.51	0.713	0.212
309	0.0187	1.59	-0.0625	0.563
365	0.0187	1.9	-0.214	-0.26
368	0.0187	1.65	-0.365	-0.227
395	0.0187	1.45	-0.183	0.0682
399	0.0187	1.68	0.255	-0.189
408	0.0187	2.02	0.446	0.0264
416	0.0187	1.53	0.336	0.0208
464	0.0187	1.47	-0.682	0.0939
698	0.0187	1.81	0.718	-0.132
24	0.0182	1.51	-0.362	-0.0339
35	0.0182	1.77	0.265	-0.061
42	0.0182	1.31	-0.0192	-0.196
46	0.0182	1.86	-0.0576	-0.0167
89	0.0182	1.8	0.502	-0.232
96	0.0182	1.74	0.231	-0.441
125	0.0182	1.63	0.5	0.305
333	0.0182	1.61	-0.267	0.829
425	0.0182	1.53	-0.431	0.0589
565	0.0182	1.48	-0.376	0.203
583	0.0182	1.51	-0.153	0.0178
2	0.0178	1.64	-0.544	0.0185
32	0.0178	2.07	1.13	-0.125
108	0.0178	1.58	-0.443	-0.218
156	0.0178	1.61	0.555	0.145
176	0.0178	1.53	0.187	-0.0386
183	0.0178	1.58	-0.986	0.0491
252	0.0178	1.34	-0.1	-0.000582
277	0.0178	1.55	0.629	0.108
292	0.0178	1.44	0.217	-0.00208
337	0.0178	1.73	-0.478	0.385
348	0.0178	1.41	-0.944	0.0598
382	0.0178	1.64	0.046	0.0828
488	0.0178	0.978	-0.392	-0.0556
547	0.0178	1.4	0.591	0.0686
7	0.0173	1.31	-0.0951	-0.0247
54	0.0173	1.93	-0.691	0.438
74	0.0173	1.31	0.0278	-0.39
82	0.0173	1.67	0.419	-0.273
88	0.0173	1.75	0.172	1.09
112	0.0173	1.61	0.437	0.00453
145	0.0173	1.58	0.501	-0.273
202	0.0173	1.48	0.109	-0.139
281	0.0173	1.72	0.109	-0.229
302	0.0173	1.62	-0.285	-0.187
403	0.0173	1.8	-0.919	0.144
546	0.0173	1.36	0.602	0.0189
700	0.0173	1.61	-0.857	0.486
18	0.0169	1.53	-0.495	-0.0286
72	0.0169	1.48	-0.137	0.182
77	0.0169	1.59	-0.042	0.311
93	0.0169	1.6	-0.791	-0.218
120	0.0169	1.77	0.464	-0.125
143	0.0169	1.55	-0.345	0.0868
220	0.0169	1.55	0.0128	0.103
225	0.0169	1.84	0.137	-0.403
362	0.0169	1.59	-0.58	-0.437
430	0.0169	1.63	0.632	-0.216
653	0.0169	1.82	0.208	-0.0713
3	0.0164	1.68	0.423	0.628
16	0.0164	1.51	0.661	-0.299
22	0.0164	1.39	0.114	-0.153
38	0.0164	1.75	-0.263	0.369
47	0.0164	1.49	0.268	0.108
128	0.0164	1.55	-0.564	0.539
135	0.0164	1.58	-0.358	0.745
151	0.0164	1.77	0.296	0.171
198	0.0164	1.56	0.994	0.245
199	0.0164	1.55	-0.253	-0.145
208	0.0164	1.62	-0.0492	-0.29
303	0.0164	1.61	0.0899	-0.153
310	0.0164	1.33	0.115	0.0623
352	0.0164	1.8	0.0647	-0.169
465	0.0164	1.33	-0.042	-0.0478
785	0.0164	1.37	-0.066	-0.254
52	0.016	1.53	0.312	-0.102
73	0.016	1.66	0.122	-0.298
85	0.016	1.74	0.0253	0.0171
119	0.016	1.89	0.137	-0.123
154	0.016	1.82	-0.217	-0.35
168	0.016	1.48	0.352	-0.0374
174	0.016	1.23	0.18	0.00675
175	0.016	1.5	0.666	-0.153
222	0.016	1.82	-0.958	0.102
245	0.016	1.67	-0.16	0.116
314	0.016	1.65	0.334	0.00968
322	0.016	1.45	-0.0692	0.407
327	0.016	1.38	-0.249	-0.233
431	0.016	1.3	0.272	-0.172
523	0.016	1.41	-0.846	-0.142
540	0.016	1.18	-0.491	-0.172
578	0.016	1.25	0.155	-0.189
598	0.016	1.63	0.271	-0.316
40	0.0155	1.23	0.172	-0.107
49	0.0155	1.55	0.641	-0.48
149	0.0155	1.48	0.0589	-0.143
185	0.0155	1.54	0.177	-0.551
258	0.0155	1.22	-0.0572	0.118
294	0.0155	1.47	-0.187	0.366
323	0.0155	1.51	-0.283	0.0549
328	0.0155	1.79	-0.683	0.254
387	0.0155	1.7	0.289	-0.0141
459	0.0155	1.62	-0.531	0.273
791	0.0155	1.45	-0.432	0.284
79	0.0151	1.63	-0.137	0.365
101	0.0151	1.97	-1.05	0.174
118	0.0151	1.41	0.436	0.331
130	0.0151	1.73	0.362	0.322
132	0.0151	1.45	-0.305	0.284
140	0.0151	1.38	-0.766	-0.136
144	0.0151	1.7	-0.81	-0.0374
146	0.0151	1.73	-0.841	0.122
190	0.0151	1.53	0.0939	-0.0602
228	0.0151	1.72	0.422	-0.0269
260	0.0151	1.25	0.0941	0.265
261	0.0151	1.82	-0.385	0.447
269	0.0151	1.89	1.11	-0.22
324	0.0151	1.46	0.0175	-0.245
342	0.0151	1.37	0.587	-0.052
357	0.0151	1.54	0.255	0.212
358	0.0151	1.35	-0.098	-0.314
392	0.0151	1.03	-0.69	0.0679
460	0.0151	1.48	-0.544	0.177
545	0.0151	1.51	0.375	-0.0835
620	0.0151	1.24	0.00276	-0.157
673	0.0151	1.73	0.204	0.325
687	0.0151	1.64	-0.672	0.137
27	0.0147	1.65	-0.305	0.111
39	0.0147	1.59	0.00963	-0.317
78	0.0147	1.55	0.0957	-0.278
152	0.0147	1.6	0.717	-0.234
217	0.0147	1.37	0.189	-0.178
255	0.0147	1.61	0.0367	0.0181
280	0.0147	1.44	0.798	-0.154
298	0.0147	1.68	0.31	-0.383
316	0.0147	1.46	0.372	-0.193
318	0.0147	1.5	-0.158	0.795
330	0.0147	1.33	0.681	0.0603
406	0.0147	1.58	-0.121	-0.12
424	0.0147	1.55	-0.163	0.102
432	0.0147	1.52	0.663	0.181
479	0.0147	1.48	1.03	0.253
509	0.0147	1.42	-1.07	-0.0207
779	0.0147	1.37	0.053	0.181
787	0.0147	2.98	2.59	0.428
5	0.0142	1.5	-0.669	-0.0712
21	0.0142	1.48	0.125	-0.351
23	0.0142	1.68	0.101	-0.133
28	0.0142	1.57	-0.178	0.345
188	0.0142	1.47	-0.419	0.439
206	0.0142	1.47	-0.22	0.013
319	0.0142	1.6	-0.925	0.439
402	0.0142	1.46	-0.344	-0.167
533	0.0142	1.23	-0.794	0.378
730	0.0142	1.1	0.783	0.299
790	0.0142	1.6	-0.434	0.147
12	0.0138	1.25	-0.164	-0.241
26	0.0138	1.59	-0.301	-0.092
31	0.0138	1.49	-0.111	0.161
55	0.0138	1.44	0.233	0.0894
67	0.0138	1.41	0.412	0.216
70	0.0138	1.25	-0.228	0.178
76	0.0138	1.9	-1.26	-0.244
90	0.0138	1.69	0.396	-0.392
110	0.0138	1.62	-0.0149	0.463
116	0.0138	1.59	-0.375	0.288
136	0.0138	1.57	-0.0504	-0.285
153	0.0138	1.71	0.627	0.248
159	0.0138	1.82	0.197	0.000979
182	0.0138	1.49	-0.152	0.898
194	0.0138	1.26	-0.126	0.253
203	0.0138	1.47	-0.0625	-0.395
209	0.0138	1.45	-0.173	-0.271
211	0.0138	1.45	0.683	0.228
215	0.0138	1.46	-0.0282	-0.249
223	0.0138	1.67	-0.266	0.377
253	0.0138	2.01	0.0289	0.214
272	0.0138	1.59	-0.44	-0.14
285	0.0138	1.6	0.114	0.15
326	0.0138	1.57	-0.708	0.125
385	0.0138	1.69	0.343	-0.526
433	0.0138	1.43	0.556	-0.277
441	0.0138	1.32	0.46	-0.404
466	0.0138	1.69	0.225	0.248
514	0.0138	1.51	-0.0501	0.422
515	0.0138	1.72	0.336	0.236
569	0.0138	1.46	-0.124	0.0521
571	0.0138	1.97	-0.75	-0.159
588	0.0138	1.25	-0.505	0.258
631	0.0138	0.93	-0.515	-0.00461
686	0.0138	1.67	-0.018	0.659
731	0.0138	1.4	-0.281	0.496
792	0.0138	2.73	2.42	0.0284
56	0.0133	1.41	-0.872	-0.172
71	0.0133	1.29	-0.238	-0.212
97	0.0133	1.51	0.782	0.0802
115	0.0133	1.7	-0.379	-0.157
126	0.0133	1.78	-0.57	0.253
155	0.0133	1.61	-0.549	-0.288
180	0.0133	1.64	-0.12	0.687
230	0.0133	1.75	-0.416	0.103
238	0.0133	1.36	0.0154	-0.158
256	0.0133	1.44	-0.0368	-0.29
301	0.0133	1.53	0.0902	-0.463
381	0.0133	1.74	-0.521	0.122
405	0.0133	1.66	0.598	0.064
413	0.0133	1.29	0.173	0.0337
435	0.0133	1.33	0.817	-0.288
437	0.0133	1.39	0.418	-0.129
439	0.0133	1.14	0.216	-0.0636
478	0.0133	1.29	0.671	-0.108
480	0.0133	1.25	0.75	0.0248
518	0.0133	1.41	0.262	0.0405
542	0.0133	1.28	0.861	-0.106
570	0.0133	1.26	-0.133	0.115
99	0.0129	1.75	-0.207	-0.488
141	0.0129	1.67	-0.497	-0.402
147	0.0129	1.6	-0.579	-0.336
177	0.0129	1.74	-0.395	0.327
227	0.0129	1.71	-0.435	0.107
264	0.0129	1.5	0.168	0.0633
284	0.0129	1.39	-0.394	0.298
291	0.0129	1.59	-0.488	-0.11
321	0.0129	1.63	0.615	0.132
325	0.0129	1.34	-0.532	0.0751
347	0.0129	1.31	-0.417	0.0383
355	0.0129	1.46	0.292	-0.533
359	0.0129	1.46	-0.229	0.287
363	0.0129	1.6	0.727	-0.41
393	0.0129	1.46	-0.505	0.0954
407	0.0129	1.54	-0.394	-0.188
415	0.0129	1.24	-0.417	-0.122
458	0.0129	1.08	0.347	0.666
541	0.0129	1.3	0.836	-0.183
654	0.0129	1.27	0.294	0.163
659	0.0129	1.55	-0.11	-0.16
675	0.0129	1.55	0.557	0.0995
676	0.0129	1.48	0.203	0.39
719	0.0129	1.59	0.793	-0.685
740	0.0129	1.46	-0.407	0.317
763	0.0129	1.19	-0.229	-0.119
8	0.0124	1.47	-0.233	-0.00277
13	0.0124	1.67	0.253	-0.101
117	0.0124	1.4	0.304	-0.141
181	0.0124	1.46	-0.116	-0.447
266	0.0124	1.31	0.0941	-0.443
394	0.0124	1.44	0.097	-0.051
440	0.0124	1.31	0.0998	0.243
444	0.0124	1.34	0.408	0.114
445	0.0124	1.56	0.165	1.27
446	0.0124	1.33	-0.422	0.501
522	0.0124	1.42	-0.976	0.194
576	0.0124	2.04	1.8	0.0843
658	0.0124	1.09	0.138	0.254
685	0.0124	1.53	-0.597	0.409
695	0.0124	2.49	2.21	0.486
712	0.0124	1.4	-0.748	0.0125
34	0.012	1.71	-0.864	0.17
63	0.012	1.12	0.256	-0.0761
68	0.012	1.65	0.344	-0.081
133	0.012	1.62	0.315	1.06
213	0.012	1.74	0.0559	0.287
231	0.012	1.6	0.0181	-0.921
274	0.012	1.57	1	0.0426
300	0.012	1.39	0.333	0.051
313	0.012	1.53	-0.989	-0.102
414	0.012	1.61	0.893	0.203
418	0.012	1.39	0.185	-0.165
422	0.012	1.35	0.424	0.152
451	0.012	1.25	-0.581	0.426
457	0.012	1.18	0.646	0.0318
501	0.012	1.12	-0.22	0.142
526	0.012	1.26	0.398	0.00451
535	0.012	1.55	-0.174	0.174
553	0.012	1.35	0.428	0.21
577	0.012	1.54	0.508	0.0152
636	0.012	1.57	1.53	0.144
672	0.012	1.3	0.194	0.484
739	0.012	1.42	-0.405	0.75
764	0.012	1.39	0.34	-0.237
4	0.0116	1.67	-0.38	-0.0874
64	0.0116	1.26	-0.466	-0.136
111	0.0116	1.31	-0.49	0.102
123	0.0116	1.56	-0.395	-0.17
138	0.0116	1.71	0.641	-0.45
173	0.0116	1.66	0.276	0.557
187	0.0116	1.62	0.253	-0.242
262	0.0116	1.31	0.0959	0.491
265	0.0116	1.47	-0.554	-0.492
329	0.0116	1.45	-0.535	-0.312
349	0.0116	1.62	0.597	-0.0876
372	0.0116	1.57	0.354	-0.16
475	0.0116	1.35	-0.742	0.129
557	0.0116	0.924	0.343	0.117
581	0.0116	1.49	0.645	0.0321
605	0.0116	1.13	0.856	0.068
661	0.0116	1.24	-0.0618	-0.454
734	0.0116	1.27	-0.533	0.54
745	0.0116	0.986	0.472	0.709
134	0.0111	1.55	-0.569	0.645
332	0.0111	1.51	-0.429	-0.322
438	0.0111	1.66	-0.0487	0.204
678	0.0111	1.41	-0.377	0.444
679	0.0111	1.4	-0.272	0.489
716	0.0111	1.37	-0.0114	-0.0844
720	0.0111	1.3	0.386	-0.918
786	0.0111	1.6	-0.162	0.101
37	0.0107	1.6	0.311	0.133
102	0.0107	1.46	-0.257	-0.0721
129	0.0107	1.28	0.104	0.539
162	0.0107	1.31	0.312	-0.199
207	0.0107	1.22	-0.243	0.357
224	0.0107	1.28	0.278	0.0898
243	0.0107	1.65	-0.0464	0.33
259	0.0107	1.7	0.0302	0.0214
287	0.0107	1.64	-0.0502	-0.097
312	0.0107	1.29	-0.382	-0.329
336	0.0107	1.71	0.433	-0.195
343	0.0107	1.42	-0.708	0.207
370	0.0107	1.32	0.17	0.274
376	0.0107	1.59	-0.396	-0.365
419	0.0107	1.05	0.402	-0.268
426	0.0107	1.45	-0.598	-0.38
429	0.0107	0.986	0.0211	-0.058
521	0.0107	1.18	0.0805	0.0169
532	0.0107	1.35	-0.573	-0.211
560	0.0107	1.18	-0.287	0.304
561	0.0107	1.29	-0.443	0.00418
615	0.0107	0.979	0.43	-0.202
655	0.0107	1.39	0.28	-0.383
713	0.0107	1.18	-0.335	-0.437
733	0.0107	1.28	0.678	0.0297
754	0.0107	2.35	2.09	0.291
773	0.0107	2.74	2.53	0.0308
6	0.0102	0.957	0.209	-0.275
109	0.0102	1.17	0.314	-0.166
167	0.0102	1.52	0.248	0.744
195	0.0102	1.54	-0.464	0.397
210	0.0102	1.16	0.22	0.141
344	0.0102	1.45	-0.144	0.245
371	0.0102	1.01	0.301	0.0571
462	0.0102	1.01	0.178	-0.0957
463	0.0102	1.36	0.894	0.127
497	0.0102	1.27	-0.496	-0.0577
499	0.0102	1.14	0.13	-0.178
648	0.0102	1.49	0.107	-0.135
780	0.0102	1.76	-0.0861	0.408
10	0.00977	1.48	0.47	0.397
60	0.00977	1.56	0.0661	0.23
186	0.00977	0.869	-0.417	-0.0266
192	0.00977	1.35	-0.34	0.197
386	0.00977	1.41	0.268	-0.0781
442	0.00977	1.26	0.658	-0.198
467	0.00977	1.35	0.108	0.144
504	0.00977	0.984	-0.237	0.00929
520	0.00977	1.25	-0.431	-0.303
556	0.00977	1.18	0.163	-0.0765
559	0.00977	1.29	-0.0029	-0.103
584	0.00977	1.38	0.343	-0.0699
585	0.00977	2.07	1.79	-0.194
674	0.00977	1.12	-0.0133	0.289
681	0.00977	2.69	2.24	0.906
725	0.00977	1.01	-0.0886	-0.744
729	0.00977	1.01	0.418	0.0658
239	0.00933	1.56	0.106	-0.322
288	0.00933	1.55	-0.69	-0.326
409	0.00933	1.55	0.56	-0.517
410	0.00933	1.23	0.336	-0.0978
411	0.00933	1.38	0.154	0.444
428	0.00933	1.23	0.0486	-0.288
470	0.00933	1.2	-0.886	0.046
516	0.00933	1.32	-0.0745	-0.219
517	0.00933	1.65	0.117	0.0487
555	0.00933	1.53	-0.554	0.0919
562	0.00933	1.21	-0.0922	-0.0975
580	0.00933	1.47	0.799	0.358
680	0.00933	1.11	0.427	0.359
690	0.00933	1.33	-0.337	-0.148
715	0.00933	1.06	-0.56	-0.256
721	0.00933	1.09	-0.262	-0.329
766	0.00933	1.59	0.431	0.465
98	0.00888	1.5	-0.722	-0.156
157	0.00888	0.816	-0.19	-0.244
166	0.00888	1.28	0.0765	0.139
179	0.00888	1.2	-0.0198	0.0381
191	0.00888	1.22	-0.158	0.189
229	0.00888	1.29	-0.307	-0.298
293	0.00888	1.55	0.824	-0.0662
391	0.00888	1.18	0.63	-0.143
481	0.00888	0.982	0.475	0.131
492	0.00888	0.813	0.0746	-0.102
582	0.00888	1.57	0.0839	-0.198
601	0.00888	1.14	0.407	-0.287
611	0.00888	1.32	1.16	-0.0998
691	0.00888	2.93	1.64	1.81
711	0.00888	1.61	0.773	-0.725
727	0.00888	1.23	0.517	-0.352
728	0.00888	1.32	0.43	-0.273
744	0.00888	1.11	0.468	0.781
747	0.00888	1.41	0.136	0.886
781	0.00888	1.36	0.235	0.213
257	0.00844	1.24	0.152	-0.254
283	0.00844	1.45	0.0442	-0.318
396	0.00844	1.35	-0.111	-0.0689
420	0.00844	1.13	0.369	0.0646
421	0.00844	1.07	0.0433	-0.0554
530	0.00844	1.07	0.0379	-0.0961
549	0.00844	1.22	-0.599	0.111
608	0.00844	0.919	-0.127	0.0868
662	0.00844	1.1	-0.245	0.197
783	0.00844	2.71	2.46	-0.183
44	0.008	1.74	0.438	0.54
61	0.008	0.817	0.0252	0.0952
453	0.008	1.13	0.143	0.777
456	0.008	1.13	0.491	0.048
461	0.008	1.39	-0.499	0.00405
474	0.008	1.1	0.0593	0.16
483	0.008	0.912	0.123	-0.101
487	0.008	0.874	-0.25	0.157
512	0.008	0.869	-0.558	-0.0318
550	0.008	1.57	-0.551	0.334
589	0.008	1.24	0.952	-0.0172
603	0.008	0.88	0.397	0.201
656	0.008	1.1	-0.00344	-0.461
742	0.008	1.43	1.1	-0.353
11	0.00755	1.29	0.328	-0.186
412	0.00755	1.19	0.0433	0.153
604	0.00755	1.22	0.615	0.153
630	0.00755	1.13	-0.781	-0.305
717	0.00755	1.13	-0.0672	-0.56
736	0.00755	1.16	0.172	0.785
57	0.00711	1.25	0.569	0.0314
75	0.00711	1.24	-0.186	0.283
107	0.00711	1.03	0.678	0.0133
242	0.00711	1.08	-0.191	-0.156
454	0.00711	0.947	0.457	0.288
529	0.00711	1.2	0.501	-0.379
607	0.00711	1.42	-0.66	0.113
677	0.00711	1.21	-0.133	0.0712
722	0.00711	1.05	0.131	-0.646
735	0.00711	0.903	0.0583	0.358
737	0.00711	0.941	-0.481	0.577
286	0.00666	0.964	-0.355	-0.271
366	0.00666	1.04	-0.267	0.432
378	0.00666	0.932	0.183	0.148
455	0.00666	1.3	0.301	-0.307
502	0.00666	0.844	-0.192	0.0411
