index	proportionOn	meanEdist	meanMu.on.dim1	meanMu.on.dim2
802	1	0.984	-0.0112	0.0881
574	0.998	6.3	6.19	-0.00749
748	0.983	3.38	1.31	2.97
777	0.98	6.16	6.05	-0.00563
668	0.926	5.37	5.14	0.442
761	0.847	3.71	3.6	0.133
699	0.693	2.98	2.46	-1.23
789	0.683	3.1	2.82	0.159
637	0.667	1.94	1.91	0.00609
527	0.61	2.59	-2.28	0.0177
613	0.59	1.79	1.71	0.00136
544	0.508	2.63	-2.29	-0.0292
710	0.463	4.89	4.15	-2.4
709	0.457	5.35	4.8	-2.15
306	0.45	2.99	-0.863	0.103
315	0.422	2.95	-1.74	0.044
684	0.42	3.84	2.38	2.76
251	0.409	2.98	2.03	-0.0963
543	0.402	2.61	-2.25	-0.0176
774	0.402	4.64	4.51	-0.21
769	0.395	2.74	2.62	0.0785
706	0.386	3.48	3.33	-0.426
776	0.382	4.63	4.48	-0.228
537	0.379	2.25	-1.78	-0.0346
641	0.378	2.41	2.34	-0.0992
374	0.348	2.55	-2.25	-0.0288
651	0.341	2.73	-1.77	0.0143
775	0.335	4.96	4.84	-0.21
643	0.311	2.41	2.34	-0.0891
642	0.305	2.41	2.34	-0.0935
360	0.278	3.02	-0.0149	-0.00661
619	0.247	1.82	1.76	0.01
495	0.246	2.76	2.47	0.0268
494	0.244	2.84	2.54	-0.0199
767	0.234	2.89	2.77	0.0484
788	0.217	3.03	2.73	0.153
1	0.213	1.91	1.39	-0.0059
139	0.211	2.15	-1.69	-0.0866
632	0.211	1.95	1.93	-0.0214
705	0.201	3.33	3.19	-0.282
707	0.199	3.69	3.56	-0.155
304	0.158	2.64	1.06	0.122
688	0.158	3.7	2.15	2.78
531	0.157	2.6	1.81	-0.107
248	0.153	2.52	0.357	0.0677
308	0.152	2.71	0.405	0.0382
708	0.149	4.94	4.58	-1.54
703	0.141	2.17	1.13	-1.54
768	0.127	2.62	2.49	0.148
616	0.126	1.21	-0.841	0.0392
169	0.123	2.48	0.932	0.234
587	0.12	2.62	2.32	0.102
756	0.117	3.32	3.15	-0.0602
697	0.0977	2.69	2.03	-1.06
689	0.096	3.57	1.89	2.79
538	0.0955	1.96	-1.49	0.178
633	0.0924	1.92	1.89	-0.0273
373	0.0915	2.41	-1.99	0.062
597	0.0915	2.15	1.03	0.13
617	0.0893	1.6	1.55	-0.00933
233	0.0813	2.6	-0.515	-0.208
669	0.0804	4.94	4.72	0.516
496	0.0791	2.34	2.13	0.0953
351	0.0724	2.26	-0.605	0.0515
17	0.064	2.2	-1	1.58
564	0.0591	1.71	1.28	0.0394
524	0.0582	1.94	1.55	-0.0182
275	0.0555	2.24	-0.00949	-0.0932
299	0.0546	2.34	-1.67	-0.0285
552	0.0524	1.94	1.23	0.075
612	0.0524	1.63	1.4	-0.028
340	0.0515	2.48	-0.215	-0.0593
704	0.0498	1.88	0.635	-1.37
586	0.0493	2.26	2.01	-0.049
692	0.0493	2.31	1.82	1.14
558	0.0475	1.34	0.947	0.0358
618	0.0453	1.96	1.04	-0.0437
683	0.0453	3.67	2.17	2.63
171	0.0449	2.13	-0.877	0.135
193	0.0449	2.21	1.21	-0.209
87	0.0431	2	1.64	-0.0556
276	0.0431	2.09	-1.02	-0.0257
770	0.0426	2.47	2.28	0.136
749	0.0422	3.91	3.66	-0.685
290	0.0418	2.18	1.02	-1.09
592	0.0418	1.39	-1.07	-0.108
297	0.0413	2.05	-0.765	0.0282
771	0.0409	2.56	2.38	0.156
345	0.0404	2.35	-0.23	-0.057
539	0.0404	1.67	-1.12	0.287
377	0.0391	1.85	1.57	-0.0764
760	0.0386	2.2	1.7	-0.00497
105	0.0382	1.83	-0.244	-0.12
579	0.0382	1.97	0.763	-0.161
693	0.0382	2.1	-1.32	-0.98
755	0.0382	3	2.79	0.0255
573	0.0369	1.45	1.17	0.00543
15	0.036	1.88	0.0733	-0.808
469	0.036	1.54	1.14	0.24
652	0.036	1.94	1.45	-0.153
500	0.0351	1.81	0.221	-0.094
622	0.0347	1.41	1.36	0.00401
765	0.0342	2.92	2.72	0.0988
551	0.0333	1.69	0.874	0.134
634	0.0333	1.56	-1.33	-0.0712
575	0.0324	3.2	2.96	0.148
701	0.032	2	-1.68	0.105
369	0.0315	2.13	-0.254	0.0627
702	0.0315	1.82	0.703	-1.26
148	0.0311	1.98	1.03	0.248
9	0.0302	1.76	0.942	0.146
163	0.0298	1.76	-0.2	-0.0453
289	0.0298	2.18	1.1	-0.0962
498	0.0298	1.67	0.162	0.156
361	0.0293	2	0.446	0.241
400	0.0293	1.85	0.442	-0.563
346	0.0289	1.79	-0.0133	0.283
468	0.0289	1.53	1.07	0.376
81	0.0284	1.91	0.126	-0.0376
161	0.0284	1.79	0.546	0.497
164	0.028	1.75	1.16	0.691
778	0.028	5.19	5.02	-0.122
397	0.0275	1.91	-0.351	-0.0282
485	0.0275	1.55	-0.424	-0.193
629	0.0275	1.66	1.61	0.0154
48	0.0267	1.79	-0.786	-0.343
100	0.0267	1.74	0.859	-0.177
263	0.0267	2.01	-1.41	0.311
389	0.0267	1.42	0.942	0.0589
798	0.0267	1.93	-1.16	-0.258
91	0.0262	1.81	0.0652	0.0361
212	0.0262	1.83	0.0315	0.779
334	0.0262	1.77	0.631	0.0686
350	0.0262	1.56	0.0872	0.0494
417	0.0262	1.79	-0.665	0.177
62	0.0258	2.02	-0.394	0.0676
427	0.0258	2.14	-0.405	0.519
548	0.0258	1.41	0.652	-0.201
696	0.0258	1.92	1.12	-0.454
746	0.0258	2.28	1.09	1.71
753	0.0258	2.46	2.22	-0.0132
29	0.0253	1.85	0.412	-0.00563
65	0.0253	2.21	0.6	-0.137
170	0.0253	1.75	0.447	-0.428
201	0.0253	1.72	-0.527	-0.42
244	0.0253	2.13	0.854	0.43
282	0.0253	2.08	0.641	0.0985
380	0.0253	1.83	-0.163	0.0657
614	0.0253	1.15	-0.929	-0.0868
796	0.0253	1.75	-1.02	0.0931
150	0.0249	1.53	0.152	-0.785
241	0.0249	1.54	0.246	0.0469
295	0.0249	1.99	-0.878	0.0833
338	0.0249	2.15	-1.34	0.0224
58	0.0244	1.35	-1.05	0.0956
335	0.0244	1.88	-1.36	0.258
423	0.0244	1.64	0.465	-0.255
741	0.0244	1.67	1.31	-0.459
59	0.024	1.77	-0.0808	-0.0175
131	0.024	1.85	-0.494	-0.67
204	0.024	2	-1.15	-0.813
268	0.024	1.89	-0.801	0.788
296	0.024	1.9	-0.591	-0.349
528	0.024	1.66	-1.32	-0.144
226	0.0235	1.73	0.535	-0.138
246	0.0235	1.71	0.203	-0.0492
364	0.0235	1.75	-0.899	0.167
375	0.0235	1.68	-0.509	0.768
797	0.0235	1.87	-1.23	-0.2
221	0.0231	1.81	0.978	0.0402
240	0.0231	1.98	-1.48	-0.0882
317	0.0231	2.19	0.107	0.384
331	0.0231	1.78	0.453	-0.0645
80	0.0227	1.73	0.174	0.34
367	0.0227	1.82	-0.766	0.00356
436	0.0227	1.58	0.154	-0.0969
0	0.0222	1.79	0.519	-0.911
103	0.0222	1.9	0.482	-0.0429
235	0.0222	1.65	0.254	0.327
249	0.0222	1.84	-0.367	0.196
267	0.0222	1.97	-0.789	0.799
305	0.0222	1.64	0.124	0.125
20	0.0218	1.73	-0.346	-0.169
33	0.0218	1.73	-0.856	-0.225
124	0.0218	1.56	-0.729	-0.233
799	0.0218	1.73	-1.15	-0.145
50	0.0213	1.81	0.686	0.0657
114	0.0213	1.62	-1.06	0.0539
205	0.0213	1.74	-0.319	-0.0147
311	0.0213	1.9	-0.37	0.449
567	0.0213	1.77	-0.746	-0.143
568	0.0213	2.04	0.185	0.0748
19	0.0209	1.7	0.209	0.134
25	0.0209	1.76	0.224	0.184
51	0.0209	1.59	-0.483	0.255
95	0.0209	1.59	-1.29	-0.00512
278	0.0209	1.72	0.543	-0.125
443	0.0209	1.73	0.0986	1.39
536	0.0209	1.6	0.253	0.089
14	0.0204	1.84	0.822	0.363
83	0.0204	1.58	-0.564	0.029
104	0.0204	1.88	0.935	0.0776
142	0.0204	1.87	-0.63	-0.157
158	0.0204	1.42	0.00575	-0.159
184	0.0204	1.86	0.988	0.288
189	0.0204	1.63	-0.302	0.0826
237	0.0204	1.57	0.0604	0.12
247	0.0204	1.98	-0.173	-0.38
356	0.0204	1.39	0.15	-0.147
566	0.0204	1.85	-0.683	-0.144
36	0.02	1.73	-0.579	-0.032
84	0.02	1.52	0.00151	0.0386
165	0.02	1.54	0.808	-0.456
172	0.02	1.66	0.164	-0.22
216	0.02	1.42	-0.506	0.104
232	0.02	1.79	-0.247	-0.194
254	0.02	1.32	0.172	-0.236
320	0.02	1.54	-0.278	0.917
339	0.02	1.64	0.111	-0.056
477	0.02	1.67	-0.342	0.287
519	0.02	1.61	-0.174	-0.0399
86	0.0195	1.91	0.781	0.195
388	0.0195	1.73	-0.685	-0.0283
434	0.0195	1.4	0.911	-0.248
554	0.0195	1.24	0.634	-0.00332
43	0.0191	1.65	0.704	0.38
45	0.0191	1.69	-0.306	-0.105
122	0.0191	1.63	-0.439	0.463
127	0.0191	1.95	0.169	-0.0207
200	0.0191	1.75	-1.09	-0.614
341	0.0191	1.71	0.0949	0.0902
401	0.0191	1.91	0.907	-0.428
404	0.0191	1.54	-0.751	-0.0553
635	0.0191	1.74	-1.22	-0.0812
795	0.0191	1.84	-0.95	-0.177
30	0.0187	1.56	-0.153	0.232
41	0.0187	1.66	-0.303	0.318
53	0.0187	1.59	-0.175	-0.117
106	0.0187	1.7	-0.429	0.103
137	0.0187	1.55	-0.00364	0.179
