site	T.mcc	T2	T3	T4	T5	T6
0	0.0164	0.0169	0.0155	0.0169	0.0138	0.0147
1	0.0147	0.0116	0.0138	0.0138	0.0169	0.0124
2	0.0395	0.0409	0.0471	0.048	0.0391	0.0409
3	0.0151	0.0138	0.0138	0.0107	0.0129	0.0178
4	0.0284	0.0347	0.0267	0.0289	0.0307	0.0289
5	0.0173	0.0195	0.0164	0.0231	0.0138	0.0151
6	0.0187	0.0151	0.0133	0.0147	0.012	0.016
7	0.00267	0.00355	0.00222	0.00533	0.00311	0.00178
8	0.056	0.0453	0.0524	0.0493	0.0418	0.0578
9	0.0471	0.0404	0.044	0.0529	0.0453	0.0422
10	0.0204	0.0164	0.0133	0.0213	0.0182	0.0138
11	0.0116	0.0107	0.0116	0.00977	0.0124	0.0155
12	0.0147	0.0142	0.0116	0.0142	0.0151	0.0151
13	0.02	0.0249	0.0231	0.0253	0.0227	0.0195
14	0.0209	0.0182	0.0222	0.0169	0.0227	0.0218
15	0.00666	0.00578	0.008	0.00755	0.008	0.008
16	0.0258	0.0302	0.0293	0.0275	0.0315	0.0235
17	0.0102	0.0107	0.00622	0.0107	0.012	0.00977
18	0.0142	0.016	0.0169	0.0195	0.0187	0.0195
19	0.00711	0.0116	0.00489	0.00888	0.00755	0.0102
20	0.02	0.0129	0.0195	0.0169	0.0209	0.0195
21	0.0151	0.0116	0.0164	0.0173	0.0116	0.0142
22	0.00888	0.00844	0.00444	0.00622	0.004	0.008
23	0.0204	0.0271	0.0258	0.0235	0.0191	0.0231
24	0.0116	0.0178	0.0182	0.0138	0.0151	0.0151
25	0.0338	0.0307	0.0382	0.0351	0.0364	0.0391
26	0.0169	0.02	0.0155	0.0178	0.0169	0.0164
27	0.0116	0.0173	0.0147	0.0213	0.0169	0.0209
28	0.0195	0.0213	0.0138	0.0138	0.0231	0.0218
29	0.0182	0.0178	0.0169	0.0147	0.0138	0.0164
30	0.0289	0.0284	0.0293	0.032	0.0298	0.0311
31	0.102	0.0955	0.109	0.105	0.121	0.114
32	0.0173	0.0222	0.0227	0.0218	0.0164	0.0195
33	0.0111	0.00977	0.0111	0.0102	0.00933	0.0147
34	0.0129	0.0124	0.00888	0.0151	0.0129	0.00844
35	0.024	0.0182	0.024	0.0258	0.024	0.0191
36	0.0173	0.0169	0.0235	0.0204	0.0227	0.0293
37	0.00311	0.00355	0.00533	0.00444	0.00533	0.00711
38	0.0231	0.0182	0.0164	0.012	0.0173	0.0173
39	0.0182	0.0164	0.0244	0.0213	0.0209	0.0218
40	0.0204	0.0155	0.0218	0.0213	0.0231	0.024
41	0.0155	0.016	0.0151	0.0173	0.0133	0.0133
42	0.0124	0.00888	0.012	0.0129	0.0133	0.0124
43	0.0107	0.0164	0.0129	0.0107	0.012	0.0116
44	0.032	0.0289	0.0338	0.0333	0.0262	0.028
45	0.0133	0.02	0.0209	0.0147	0.0218	0.0173
46	0.02	0.0204	0.0253	0.0195	0.0155	0.024
47	0.0204	0.0231	0.02	0.016	0.0204	0.02
48	0.0809	0.08	0.0795	0.0915	0.0813	0.0791
49	0.0307	0.0351	0.0249	0.0311	0.0333	0.0249
50	0.028	0.0284	0.0324	0.0289	0.0307	0.0307
51	0.0124	0.0138	0.0147	0.0138	0.0138	0.0169
52	0.0271	0.0231	0.0213	0.0267	0.028	0.0253
53	0.0187	0.0195	0.0155	0.0213	0.0151	0.0138
54	0.012	0.016	0.0116	0.012	0.012	0.012
55	0.0169	0.0116	0.0116	0.012	0.0129	0.0155
56	0.0173	0.016	0.0142	0.0138	0.0155	0.0155
57	0.0195	0.02	0.0195	0.0244	0.0209	0.0169
58	0.0182	0.0155	0.016	0.0187	0.0173	0.0187
59	0.0138	0.0138	0.00755	0.0102	0.0151	0.0124
60	0.0178	0.0155	0.0142	0.0218	0.0147	0.0164
61	0.0182	0.0191	0.02	0.0222	0.0253	0.0253
62	0.0187	0.016	0.0151	0.0142	0.016	0.0182
63	0.008	0.0138	0.0142	0.0124	0.0129	0.0129
64	0.0142	0.0262	0.0231	0.0204	0.0235	0.0231
65	0.0173	0.0222	0.0249	0.0258	0.0244	0.024
66	0.0178	0.0147	0.02	0.0173	0.0213	0.0138
67	0.0142	0.0151	0.0151	0.0187	0.0111	0.0138
68	0.0231	0.024	0.0124	0.0262	0.0173	0.0258
69	0.0231	0.0169	0.0218	0.0173	0.02	0.0231
70	0.0351	0.0258	0.0311	0.0395	0.0311	0.0267
71	0.0511	0.0498	0.0466	0.0484	0.0542	0.0493
72	0.0191	0.0244	0.0147	0.0178	0.016	0.0151
73	0.0213	0.0147	0.0138	0.0173	0.0164	0.0116
74	0.0222	0.0195	0.0178	0.0124	0.0218	0.0182
75	0.00711	0.00578	0.00844	0.00489	0.0102	0.008
76	0.0187	0.0173	0.0222	0.0253	0.0142	0.0155
77	0.004	0.00844	0.00533	0.00578	0.00444	0.00489
78	0.0267	0.0338	0.0311	0.0378	0.0213	0.0253
79	0.0182	0.0173	0.02	0.0204	0.024	0.024
80	0.028	0.0227	0.0324	0.02	0.0235	0.0271
81	0.0191	0.0222	0.0204	0.0262	0.0218	0.024
82	0.0102	0.0116	0.00533	0.0151	0.00888	0.0111
83	0.0195	0.0231	0.0169	0.0147	0.0204	0.02
84	0.0386	0.0355	0.0369	0.0391	0.0364	0.0458
85	0.044	0.0453	0.0378	0.0435	0.0453	0.0386
86	0.0227	0.0222	0.0231	0.02	0.02	0.0178
87	0.0293	0.0307	0.0169	0.0275	0.0209	0.0267
88	0.0151	0.0213	0.0178	0.02	0.0178	0.0142
89	0.0204	0.0169	0.0187	0.0213	0.0147	0.0213
90	0.00888	0.012	0.0129	0.00844	0.00888	0.0142
91	0.0258	0.0227	0.024	0.0249	0.0302	0.0253
92	0.0204	0.0178	0.0235	0.0191	0.0191	0.0227
93	0.016	0.0173	0.0173	0.0191	0.0138	0.0138
94	0.0222	0.024	0.0195	0.0249	0.0262	0.0355
95	0.0187	0.00888	0.0129	0.0142	0.0182	0.0133
96	0.0124	0.0116	0.00666	0.00888	0.00933	0.0102
97	0.016	0.0195	0.016	0.0155	0.0191	0.0164
98	0.0533	0.0466	0.0506	0.0555	0.0511	0.0533
99	0.00489	0.00755	0.0107	0.0307	0.0102	0.012
100	0.0155	0.0204	0.0155	0.0191	0.0151	0.0147
101	0.0147	0.0142	0.00844	0.016	0.0107	0.00977
102	0.0155	0.0195	0.0111	0.0169	0.0155	0.024
103	0.0111	0.0138	0.0124	0.0129	0.0173	0.00888
104	0.0116	0.0147	0.0129	0.00888	0.0147	0.0116
105	0.0191	0.0164	0.0155	0.0155	0.0178	0.0124
106	0.0187	0.0164	0.012	0.0204	0.0182	0.0178
107	0.00533	0.00489	0.00533	0.00533	0.004	0.00666
108	0.0213	0.0218	0.0178	0.0209	0.0173	0.02
109	0.0404	0.0422	0.0413	0.0413	0.0431	0.0409
110	0.0151	0.0191	0.0204	0.0191	0.0164	0.0195
111	0.0142	0.0173	0.0253	0.0151	0.0151	0.0222
112	0.0262	0.0249	0.0244	0.0195	0.0209	0.0173
113	0.0689	0.0604	0.0289	0.0284	0.0258	0.0293
114	0.0169	0.0169	0.0142	0.0129	0.0129	0.0129
115	0.0489	0.0511	0.0422	0.0533	0.0418	0.0533
116	0.0147	0.0342	0.0147	0.0426	0.0164	0.0395
117	0.0147	0.0133	0.016	0.0187	0.0133	0.0307
118	0.0142	0.0182	0.0155	0.109	0.0147	0.0178
119	0.0151	0.0147	0.0911	0.0129	0.0897	0.0169
120	0.0911	0.0195	0.0173	0.00977	0.008	0.0204
121	0.0111	0.0849	0.0253	0.00755	0.00578	0.0844
