site	T.mcc	T2	T3	T4	T5	T6
122	0.313	0.0213	0.0311	0.00578	0.0116	0.0293
123	0.0347	0.0209	0.0129	0.00711	0.00622	0.0147
124	0.0102	0.0151	0.0213	0.00622	0.00711	0.0204
125	0.0116	0.0111	0.0164	0.0147	0.00711	0.0191
126	0.00977	0.0102	0.0209	0.0213	0.0155	0.0235
127	0.0244	0.0129	0.00711	0.0164	0.0138	0.0289
128	0.0378	0.00933	0.0209	0.008	0.008	0.0493
129	0.0968	0.00489	0.0244	0.0142	0.00355	0.0182
130	0.849	0.00666	0.0129	0.00888	0.0147	0.0204
131	0.0187	0.00711	0.0124	0.00578	0.0147	0.024
132	0.00933	0.00888	0.00666	0.00311	0.0147	0.00933
133	0.0102	0.0124	0.00933	0.004	0.00355	0.016
134	0.0151	0.00844	0.0116	0.00267	0.00355	0.00489
135	0.0187	0.00711	0.00622	0.00533	0.00267	0.00489
136	0.0182	0.00355	0.008	0.00578	0.00533	0.0284
137	0.00844	0.00355	0.0213	0.0147	0.00844	0.0102
138	0.00977	0.00267	0.00888	0.0124	0.004	0.0151
139	0.0262	0.00755	0.00933	0.00933	0.00178	0.135
140	0.0129	0.000888	0.0187	0.00711	0.00888	0.0875
141	0.0449	0.00755	0.0302	0.00844	0.00622	0.0315
142	0.0138	0.00711	0.0147	0.00622	0.0182	0.782
143	0.00844	0.0191	0.028	0.00355	0.0173	0.0195
144	0.0253	0.00933	0.0324	0.00178	0.0124	0.0111
145	0.00844	0.0124	0.0955	0.00533	0.00533	0.008
146	0.00888	0.00311	0.849	0.00533	0.00311	0.0147
147	0.00133	0.00578	0.0116	0.00533	0.00489	0.0138
148	0.00755	0.00533	0.0169	0.008	0.00666	0.0124
149	0.0142	0.00622	0.00755	0.343	0.00933	0.00578
150	0.00755	0.00355	0.00888	0.0178	0.248	0.0378
151	0.0151	0.00311	0.0102	0.0173	0.0262	0.00977
152	0.88	0.00711	0.00622	0.0333	0.00977	0.0155
153	0.0147	0.281	0.0133	0.0129	0.0138	0.0244
154	0.0116	0.02	0.00844	0.0133	0.00622	0.0155
155	0.0102	0.0102	0.00622	0.0133	0.0155	0.0275
156	0.00888	0.00355	0.0253	0.008	0.00178	0.016
157	0.00355	0.00666	0.0147	0.0253	0.00311	0.0116
158	0.00622	0.00844	0.0116	0.0102	0.0107	0.0187
159	0.00533	0.0129	0.519	0.0173	0.012	0.008
160	0.00933	0.00755	0.449	0.0404	0.0227	0.00755
161	0.0187	0.0404	0.0116	0.0222	0.0124	0.00711
162	0.00533	0.0116	0.00355	0.0155	0.0116	0.016
163	0.00267	0.0116	0.00533	0.0133	0.0129	0.00977
164	0.0169	0.0275	0.00444	0.0235	0.0364	0.0107
165	0.00888	0.0324	0.00267	0.00844	0.0813	0.873
166	0.0124	0.0764	0.0262	0.0142	0.02	0.0982
167	0.0244	0.85	0.00533	0.0164	0.682	0.0102
168	0.0147	0.0129	0.0164	0.088	0.0169	0.0107
169	0.0169	0.0129	0.00578	0.0315	0.143	0.00311
170	0.024	0.0111	0.0116	0.885	0.0795	0.004
171	0.0542	0.0231	0.00489	0.0133	0.0529	0.00355
172	0.0453	0.0151	0.00311	0.0231	0.0124	0.00133
173	0.016	0.0142	0.00622	0.0182	0.0187	0.00311
174	0.0195	0.0164	0.352	0.0946	0.0533	0.0173
175	0.0164	0.0275	0.032	0.0155	0.0164	0.00711
176	0.012	0.0391	0.008	0.012	0.00977	0.328
177	0.381	0.0142	0.263	0.0187	0.0213	0.0307
178	0.0378	0.0275	0.745	0.0129	0.0249	0.00666
179	0.69	0.0129	0.0129	0.0426	0.0133	0.253
180	0.0142	0.00977	0.00133	0.74	0.00844	0.761
181	0.0155	0.00844	0.00311	0.0227	0.00888	0.0129
182	0.00888	0.00666	0.00755	0.02	0.0164	0.0107
183	0.0142	0.00755	0.00355	0.00977	0.0116	0.0164
184	0.00977	0.0267	0.004	0.0107	0.0151	0.0107
185	0.00711	0.0155	0.004	0.00444	0.788	0.0102
186	0.00533	0.0178	0.00755	0.0324	0.00888	0.00888
187	0.00533	0.865	0.00666	0.00311	0.117	0.00711
188	0.00267	0.016	0.0178	0.0129	0.0124	0.008
189	0.004	0.0164	0.0111	0.0147	0.00622	0.00311
190	0.004	0.0111	0.00711	0.00444	0.00178	0.016
191	0.00933	0.004	0.00533	0.00444	0.00267	0.00578
192	0.00178	0.004	0.00311	0.00711	0.00533	0.00489
193	0.00755	0.00311	0.00533	0.0249	0.00666	0.00533
194	0.004	0.0311	0.0133	0.0249	0.0209	0.00578
195	0.0133	0.00311	0.0151	0.0173	0.0124	0.00267
196	0.00444	0.00755	0.00311	0.0222	0.016	0.004
197	0.00311	0.0271	0.00578	0.0475	0.0204	0.00489
198	0.00888	0.0182	0.00622	0.0129	0.0129	0.00489
199	0.00666	0.0173	0.0147	0.0151	0.0182	0.00267
200	0.00533	0.0284	0.0178	0.0182	0.0249	0.00355
201	0.012	0.0275	0.0147	0.0195	0.0582	0.0129
202	0.00933	0.0142	0.0133	0.024	0.0195	0.00977
203	0.00844	0.0231	0.0111	0.012	0.0204	0.0129
204	0.00489	0.0422	0.00755	0.437	0.012	0.00711
205	0.00578	0.0213	0.008	0.0329	0.338	0.0111
206	0.00533	0.0235	0.008	0.662	0.0342	0.008
207	0.0138	0.0107	0.00755	0.004	0.763	0.0173
208	0.0187	0.369	0.00711	0.00622	0.00444	0.00755
209	0.0155	0.0284	0.00666	0.008	0.00622	0.0182
210	0.00755	0.729	0.00533	0.00711	0.004	0.00355
211	0.00489	0.00178	0.00755	0.0111	0.00844	0.00444
212	0.0129	0.00489	0.00977	0.0595	0.00666	0.00622
213	0.0116	0.0102	0.0631	0.998	0.068	0.0107
214	0.0675	0.00977	0.998	0.016	0.998	0.0129
215	0.998	0.0715	0.0564	0.0147	0.0426	0.08
216	0.0373	0.997	0.048	0.0155	0.0333	0.997
217	0.0307	0.0533	0.00844	0.0511	0.0178	0.0604
218	0.0102	0.0404	0.0218	0.04	0.0142	0.0564
219	0.00755	0.0209	0.997	0.0191	0.991	0.0111
220	0.996	0.999	0.0422	0.995	0.0369	0.0133
221	0.0293	0.00311	0.0307	0.0307	0.0204	0.999
222	0.024	0.0302	0.0231	0.0338	0.0293	0.0364
223	0.024	0.103	0.00533	0.00578	0.004	0.00311
224	0.004	0.0147	0.0107	0.0147	0.0129	0.0169
225	0.0147	0.00844	0.00755	0.00622	0.00666	0.0124
226	0.00133	0.00267	0.00489	0.00711	0.00178	0.00489
227	0.0155	0.0155	0.0129	0.016	0.0102	0.016
228	1	1	1	1	1	1
