# BEAST v1.8.0, r5971
# Generated Wed Jan 14 18:33:43 PST 2015 [seed=1421289222306]
state	posterior	prior	aglikelihoodtreecluster	K	mds.precision	serum.drift	serum.precision	mu.precision	probActiveNode
0	-51703.28152841706	-932.4954684218083	-50770.78605999525	20.0	0.1	1.0	1.0	0.4	0.05
200000	-4980.630092310893	-1190.4814925605972	-3790.1485997502955	21.0	0.1	0.5446809598025897	1.0	0.4	0.08229895047244846
400000	-4974.234848359432	-1159.2899824234705	-3814.9448659359623	12.0	0.1	0.5443613833130235	1.0	0.4	0.03300667561409376
600000	-4939.609505699053	-1143.0464352414615	-3796.563070457592	15.0	0.1	0.507787065124853	1.0	0.4	0.05633525680855325
800000	-4961.2804739192725	-1144.2188107124139	-3817.061663206859	7.0	0.1	0.4841558807350641	1.0	0.4	0.01845523047144484
1000000	-4926.572683562794	-1133.823132047195	-3792.7495515155983	8.0	0.1	0.5768771086514671	1.0	0.4	0.027862455694379763
1200000	-4955.585264553204	-1142.6677974561123	-3812.917467097092	9.0	0.1	0.535147467264765	1.0	0.4	0.032497719317326854
1400000	-4922.776713585641	-1119.3056682472838	-3803.4710453383577	9.0	0.1	0.5182007029405177	1.0	0.4	0.03849479870396183
1600000	-4962.800546634662	-1149.5301457126359	-3813.270400922026	10.0	0.1	0.5516282695151788	1.0	0.4	0.044656278374448716
1800000	-4948.510931021945	-1124.6898946342528	-3823.8210363876924	11.0	0.1	0.4591330689043244	1.0	0.4	0.06201548721320455
2000000	-4955.477663302278	-1143.3095059532545	-3812.168157349024	12.0	0.1	0.47206091826810836	1.0	0.4	0.043427130896688176
2200000	-4933.575087952444	-1125.2520177039867	-3808.3230702484575	10.0	0.1	0.5452482367976729	1.0	0.4	0.06419786847654112
2400000	-4936.890907920912	-1141.790516180507	-3795.1003917404046	7.0	0.1	0.5922779076362997	1.0	0.4	0.0171578148649494
2600000	-4933.048646854238	-1127.5079313049405	-3805.540715549297	10.0	0.1	0.5366276985214088	1.0	0.4	0.06675608064602745
2800000	-4932.896682024237	-1127.3191648500242	-3805.577517174213	7.0	0.1	0.5666865120540837	1.0	0.4	0.03870416498583361
3000000	-4961.015941881939	-1144.0275282445523	-3816.988413637387	11.0	0.1	0.49455427138832175	1.0	0.4	0.050952494778458604
3200000	-4946.277725992975	-1141.6135233499394	-3804.6642026430363	10.0	0.1	0.5081774319626337	1.0	0.4	0.06081282537899665
3400000	-4977.350863307021	-1179.4843410511517	-3797.8665222558698	14.0	0.1	0.5759508473701676	1.0	0.4	0.06063172350487979
3600000	-4934.1317137733895	-1147.9002427216092	-3786.23147105178	17.0	0.1	0.587485880263638	1.0	0.4	0.09204455662178282
3800000	-4918.104446318156	-1114.896173891899	-3803.2082724262573	8.0	0.1	0.5326599176331844	1.0	0.4	0.03633757151047248
4000000	-4931.9075398300465	-1125.4253103815813	-3806.482229448465	8.0	0.1	0.5259761348325313	1.0	0.4	0.02285696529423721
4200000	-4977.377219580589	-1154.1653142773089	-3823.21190530328	7.0	0.1	0.6050938023247371	1.0	0.4	0.04827006796165338
4400000	-4929.160676128352	-1128.0827405726952	-3801.077935555657	9.0	0.1	0.5738690358500345	1.0	0.4	0.03985917467183894
4600000	-4911.5865207152365	-1102.9831082363628	-3808.6034124788735	7.0	0.1	0.5655898133745625	1.0	0.4	0.05420874123937288
4800000	-4970.1862286899195	-1155.287525128008	-3814.8987035619116	8.0	0.1	0.5492144613448365	1.0	0.4	0.021910871365611838
5000000	-4951.356082351653	-1134.0778423125018	-3817.278240039151	14.0	0.1	0.4774993506842042	1.0	0.4	0.04322683861421587
5200000	-4950.488742699684	-1151.1295732536566	-3799.3591694460274	10.0	0.1	0.5626698911224435	1.0	0.4	0.07263753223846235
5400000	-4903.283817351289	-1098.555900129988	-3804.727917221301	12.0	0.1	0.42622015338020436	1.0	0.4	0.037936309778172944
5600000	-4958.271551746051	-1150.2975021261593	-3807.974049619892	11.0	0.1	0.5666711479572776	1.0	0.4	0.03635259300817388
5800000	-4950.320182534842	-1141.3196765687208	-3809.000505966122	11.0	0.1	0.4736791424198179	1.0	0.4	0.047466365386902055
6000000	-4944.283185623288	-1136.1722382601474	-3808.11094736314	8.0	0.1	0.5389886515972975	1.0	0.4	0.05404604717942671
