# BEAST v1.8.0, r5971
# Generated Wed Jan 14 18:33:43 PST 2015 [seed=1421289222306]
state	posterior	prior	aglikelihoodtreecluster	K	mds.precision	serum.drift	serum.precision	mu.precision	probActiveNode
6200000	-4947.352690233107	-1132.5785046123917	-3814.7741856207153	11.0	0.1	0.5416729686798264	1.0	0.4	0.04386658056221142
6400000	-4922.374643738664	-1134.0724509131444	-3788.3021928255203	9.0	0.1	0.5798294958130163	1.0	0.4	0.04361663703686356
6600000	-4946.8844865674	-1144.0473080488578	-3802.8371785185423	12.0	0.1	0.5440388357116336	1.0	0.4	0.06281865607372933
6800000	-4942.317309272988	-1126.7156550474447	-3815.601654225543	11.0	0.1	0.5366032468075113	1.0	0.4	0.056962372298312275
7000000	-4965.932072507179	-1149.7297510089163	-3816.202321498263	12.0	0.1	0.4599406352993424	1.0	0.4	0.06976566766845702
7200000	-4963.985845753121	-1151.0219474642165	-3812.9638982889046	9.0	0.1	0.5483115525414226	1.0	0.4	0.03285741817701553
7400000	-4958.42800596274	-1164.5248792091716	-3793.903126753569	14.0	0.1	0.5705079192630942	1.0	0.4	0.05981662600421224
7600000	-4922.551013924829	-1117.888628009055	-3804.6623859157735	7.0	0.1	0.4868062480442383	1.0	0.4	0.017139839739713017
7800000	-4937.7859441015435	-1124.961461875485	-3812.8244822260585	7.0	0.1	0.5354481100759174	1.0	0.4	0.030566507872727647
8000000	-4985.596416669393	-1170.2456626786468	-3815.350753990746	13.0	0.1	0.457523730994892	1.0	0.4	0.060174344927698145
8200000	-4936.310594291446	-1138.4143595563442	-3797.896234735102	10.0	0.1	0.5499003860446288	1.0	0.4	0.04600896596816022
8400000	-4956.785720990878	-1142.379730956563	-3814.4059900343145	9.0	0.1	0.5034056461979513	1.0	0.4	0.037206927635633436
8600000	-4964.148025751127	-1157.282180896645	-3806.8658448544816	14.0	0.1	0.556598479780192	1.0	0.4	0.06961094209284108
8800000	-4923.540611049531	-1118.7153197554785	-3804.8252912940525	12.0	0.1	0.5427490937956935	1.0	0.4	0.03981979989043789
9000000	-4979.10412147849	-1172.826707614191	-3806.277413864299	17.0	0.1	0.5040848359902315	1.0	0.4	0.09767440428875555
9200000	-4938.960495792016	-1135.8890768106764	-3803.0714189813402	11.0	0.1	0.5555465189429253	1.0	0.4	0.0645709294841593
9400000	-4951.551339870946	-1145.8701178983542	-3805.681221972592	12.0	0.1	0.5458509615461535	1.0	0.4	0.09753468606977239
9600000	-4943.88869301136	-1126.7197406638397	-3817.16895234752	8.0	0.1	0.4858367004461977	1.0	0.4	0.06588086881028304
9800000	-4941.059048544387	-1140.1544497902873	-3800.9045987541	8.0	0.1	0.5578719048982413	1.0	0.4	0.04070059033243817
10000000	-4927.6137233661	-1135.8188568908513	-3791.794866475249	18.0	0.1	0.560035516553681	1.0	0.4	0.07870392688572
10200000	-4922.612695327729	-1122.8147385224356	-3799.797956805294	9.0	0.1	0.6207835629581355	1.0	0.4	0.045792460013995326
10400000	-4946.589069394629	-1143.141374351856	-3803.447695042773	10.0	0.1	0.5931217889016486	1.0	0.4	0.034526319990336174
10600000	-4913.093737254276	-1113.6455853187495	-3799.4481519355268	8.0	0.1	0.6056195892004803	1.0	0.4	0.03644615292293628
10800000	-4948.223603672644	-1146.884249686527	-3801.3393539861167	7.0	0.1	0.48704644578375206	1.0	0.4	0.020933492488557047
11000000	-4910.508022312026	-1109.580131781373	-3800.927890530653	7.0	0.1	0.5767050385514962	1.0	0.4	0.02498142537860333
11200000	-4924.888313680887	-1118.8127189661036	-3806.0755947147836	7.0	0.1	0.5354007774154034	1.0	0.4	0.0376074882838971
11400000	-4945.273514618455	-1131.0885220408866	-3814.184992577568	10.0	0.1	0.5893342333070738	1.0	0.4	0.04651297848190809
11600000	-4935.077196506001	-1127.241980945861	-3807.83521556014	12.0	0.1	0.5287311347944539	1.0	0.4	0.043183914580078184
11800000	-4960.341890566547	-1157.0862151343995	-3803.255675432147	13.0	0.1	0.5430441533170275	1.0	0.4	0.0377776169637138
12000000	-4945.353181994532	-1132.563732640732	-3812.7894493537997	10.0	0.1	0.4888375246624218	1.0	0.4	0.03266520906888614
12200000	-4924.8562847674475	-1122.4824014632788	-3802.373883304169	13.0	0.1	0.5114822872837627	1.0	0.4	0.056656588826798956
12400000	-4961.212440363961	-1137.1746576114479	-3824.037782752513	12.0	0.1	0.5329836818966713	1.0	0.4	0.06591931810010333
12600000	-4908.33816643172	-1109.9046697030597	-3798.433496728661	10.0	0.1	0.5589738035372296	1.0	0.4	0.03947432192011758
12800000	-4966.689662957428	-1161.3501552509665	-3805.3395077064615	10.0	0.1	0.5541096593032931	1.0	0.4	0.06959107166968673
13000000	-4930.472667804995	-1126.9187188625406	-3803.553948942454	9.0	0.1	0.5221361898476489	1.0	0.4	0.0363185860592304
13200000	-4934.902004554264	-1124.518116061989	-3810.3838884922748	12.0	0.1	0.46590799357143703	1.0	0.4	0.052414910970370154
13400000	-4945.566636873053	-1126.9116508168286	-3818.6549860562236	8.0	0.1	0.5142359720928986	1.0	0.4	0.028671204237453635
13600000	-4916.151447755956	-1108.824384448269	-3807.327063307687	7.0	0.1	0.5548906430428453	1.0	0.4	0.034696531571974956
13800000	-4948.2472630334105	-1146.8427881804519	-3801.404474852959	10.0	0.1	0.5334817160768416	1.0	0.4	0.06079602518161054
14000000	-4941.757737924905	-1142.273685649782	-3799.4840522751233	11.0	0.1	0.4709673109482108	1.0	0.4	0.06061828799153732
14200000	-4926.125113774748	-1117.8993507878095	-3808.2257629869387	11.0	0.1	0.6277032213601959	1.0	0.4	0.04064228328873912
14400000	-4917.658135166091	-1115.4507962864163	-3802.2073388796744	8.0	0.1	0.5167045853478565	1.0	0.4	0.0436533255892965
14600000	-4940.114029542028	-1130.8250515960372	-3809.2889779459915	9.0	0.1	0.4897167522464195	1.0	0.4	0.04187578569726231
14800000	-4935.87292870591	-1139.5287415240198	-3796.3441871818904	14.0	0.1	0.4912490863056166	1.0	0.4	0.06071820542436336
15000000	-4916.863382686866	-1109.9673262602503	-3806.896056426616	13.0	0.1	0.5163880025280293	1.0	0.4	0.06826583858490295
15200000	-4971.6855950164245	-1156.205922361965	-3815.47967265446	9.0	0.1	0.5289786230566826	1.0	0.4	0.05098282878601877
15400000	-4946.739099451885	-1152.6763395168034	-3794.062759935081	8.0	0.1	0.5732332634777688	1.0	0.4	0.05456299393294745
15600000	-4934.634910147085	-1136.137199556654	-3798.4977105904313	8.0	0.1	0.5758094726689463	1.0	0.4	0.04426106749126827
15800000	-4963.807418128509	-1162.196270089872	-3801.611148038637	15.0	0.1	0.5275139125344961	1.0	0.4	0.049115381171942626
16000000	-4918.2753647335685	-1117.4292418958107	-3800.846122837758	10.0	0.1	0.5479078689458001	1.0	0.4	0.06067095009763584
16200000	-4951.768180177056	-1154.6305073773146	-3797.1376727997417	10.0	0.1	0.5164729657913255	1.0	0.4	0.05027762753514564
16400000	-4968.318904755899	-1152.3489733789281	-3815.9699313769706	14.0	0.1	0.5588266639029391	1.0	0.4	0.05228665327824754
16600000	-4942.200683608631	-1133.5523006974995	-3808.648382911131	14.0	0.1	0.49956624550658846	1.0	0.4	0.05321952235598658
16800000	-4953.3698419392285	-1147.0709417615565	-3806.2989001776723	10.0	0.1	0.4673334625982359	1.0	0.4	0.04719283138150889
17000000	-4965.424153552072	-1154.9226048009646	-3810.501548751108	10.0	0.1	0.49862918471896406	1.0	0.4	0.03231260240726257
17200000	-4928.353646427389	-1130.2017345878048	-3798.1519118395845	9.0	0.1	0.5115704264652164	1.0	0.4	0.02725798110320227
17400000	-4985.490000740638	-1169.8552288193564	-3815.6347719212813	20.0	0.1	0.5664296229803012	1.0	0.4	0.07552337802178241
17600000	-4990.667297579422	-1165.842612103637	-3824.824685475785	7.0	0.1	0.5260081819215294	1.0	0.4	0.027726074517808393
17800000	-4916.29879746446	-1103.9717955774063	-3812.3270018870544	6.0	0.1	0.48340344450272943	1.0	0.4	0.04873462866579656
18000000	-4944.265929986595	-1136.5290372615257	-3807.73689272507	8.0	0.1	0.5100821989994057	1.0	0.4	0.04625078882860785
18200000	-4947.548530448101	-1135.6105087959932	-3811.938021652107	13.0	0.1	0.5297958661371138	1.0	0.4	0.05183462526224903
18400000	-4960.767757780757	-1153.037960259824	-3807.729797520933	12.0	0.1	0.5217760537517113	1.0	0.4	0.05407670390924618
18600000	-4951.676919045902	-1141.8016529155598	-3809.8752661303424	11.0	0.1	0.5823324221970811	1.0	0.4	0.03044424717531187
18800000	-4966.32189750812	-1164.10613227101	-3802.21576523711	7.0	0.1	0.507046937186344	1.0	0.4	0.0354983539184059
19000000	-4936.285427595347	-1130.8448650761088	-3805.4405625192376	11.0	0.1	0.5694136663455875	1.0	0.4	0.08479950919414583
19200000	-4917.6000175666895	-1116.2741853383154	-3801.325832228374	10.0	0.1	0.5420324112919912	1.0	0.4	0.03851986146246921
19400000	-4956.5428266008785	-1150.017830189879	-3806.524996411	14.0	0.1	0.5698667935135721	1.0	0.4	0.08646989661490109
19600000	-4932.8116160386435	-1131.7005324811853	-3801.111083557458	13.0	0.1	0.519875740688977	1.0	0.4	0.07925065166082318
19800000	-4966.979900790078	-1169.1658404280633	-3797.814060362015	15.0	0.1	0.5399498026755344	1.0	0.4	0.05796633023821442
20000000	-4965.154411618931	-1158.1917096471245	-3806.9627019718064	10.0	0.1	0.560092413948938	1.0	0.4	0.060713722612028696
20200000	-4961.673908734146	-1154.8887419776731	-3806.7851667564723	16.0	0.1	0.5576116504853429	1.0	0.4	0.06828666976318526
20400000	-4956.512447286448	-1153.926400439381	-3802.5860468470673	14.0	0.1	0.5243947920022217	1.0	0.4	0.09804726164434652
20600000	-4925.301878044758	-1133.7038902568215	-3791.5979877879367	10.0	0.1	0.5388657621003043	1.0	0.4	0.06748166893834248
20800000	-4945.824588853195	-1143.9673145829177	-3801.857274270277	8.0	0.1	0.49573195206292003	1.0	0.4	0.03537614847803208
21000000	-4946.952982378718	-1142.1894375750305	-3804.7635448036876	9.0	0.1	0.5218378644016037	1.0	0.4	0.03794782444833987
21200000	-4959.1442366057545	-1145.7418947637782	-3813.4023418419765	9.0	0.1	0.5038571389147538	1.0	0.4	0.061805897694528183
21400000	-4961.99977273725	-1152.707241846581	-3809.2925308906697	11.0	0.1	0.5410192416377632	1.0	0.4	0.06565986501802198
21600000	-4971.540845342234	-1162.1254908202925	-3809.4153545219415	10.0	0.1	0.5642944498618827	1.0	0.4	0.04228996933215618
21800000	-4957.618430512548	-1154.4097882802516	-3803.208642232296	6.0	0.1	0.4899502737828506	1.0	0.4	0.04510978536611098
22000000	-4960.993143573036	-1168.8565949193367	-3792.1365486536993	8.0	0.1	0.5844317763323574	1.0	0.4	0.01501396660141291
22200000	-4973.004311547844	-1166.3978114079864	-3806.606500139857	13.0	0.1	0.5060192947280391	1.0	0.4	0.06925814654349816
22400000	-4938.8169265618835	-1148.553283211118	-3790.263643350766	12.0	0.1	0.5501700779792338	1.0	0.4	0.04095700068361937
22600000	-4931.459310420455	-1115.052592683186	-3816.406717737269	13.0	0.1	0.44537227942810925	1.0	0.4	0.05311958319612484
22800000	-4942.697673934947	-1136.1906109923893	-3806.507062942557	12.0	0.1	0.5521550003574591	1.0	0.4	0.0599192331844384
23000000	-4955.54177175177	-1134.5961784425099	-3820.945593309261	7.0	0.1	0.5079870200226025	1.0	0.4	0.028181820775150745
23200000	-4964.66439828715	-1141.4397577621648	-3823.2246405249857	8.0	0.1	0.49504879887765696	1.0	0.4	0.07124771468213668
23400000	-4955.98145058167	-1145.0629396720599	-3810.91851090961	11.0	0.1	0.52115076011298	1.0	0.4	0.06347089768434995
23600000	-4923.199520879733	-1132.5079014326086	-3790.691619447125	12.0	0.1	0.5548453448654371	1.0	0.4	0.0473969430847605
23800000	-4966.451771286101	-1150.3306391717229	-3816.121132114378	17.0	0.1	0.5489717966799083	1.0	0.4	0.12736793156956622
24000000	-4937.224811071498	-1142.2016695720752	-3795.0231414994228	9.0	0.1	0.5501182666613533	1.0	0.4	0.058061718848255284
24200000	-4954.623368748989	-1147.0623887342185	-3807.5609800147713	12.0	0.1	0.546620308854568	1.0	0.4	0.06873885604233954
24400000	-4925.228165886425	-1118.1256271192942	-3807.102538767131	11.0	0.1	0.5630794458515251	1.0	0.4	0.04401147889447817
24600000	-4957.2550248898115	-1149.6989356970198	-3807.5560891927917	11.0	0.1	0.5889222902259303	1.0	0.4	0.050530602657224886
24800000	-4968.4213672459755	-1173.64500561477	-3794.776361631205	14.0	0.1	0.5281074186508005	1.0	0.4	0.08051274879948855
25000000	-4961.925840794465	-1158.4011175276187	-3803.5247232668466	9.0	0.1	0.5493633176956715	1.0	0.4	0.03822814508781222
25200000	-4949.379111096907	-1149.2580020574765	-3800.12110903943	15.0	0.1	0.4940254348014296	1.0	0.4	0.06685754522414111
25400000	-4928.908366785299	-1116.9530478765219	-3811.955318908777	10.0	0.1	0.5883147016627538	1.0	0.4	0.047018027672201965
25600000	-4944.830027062953	-1142.492647516653	-3802.3373795463	12.0	0.1	0.5430487222121827	1.0	0.4	0.08442424123679565
25800000	-4949.620429383476	-1153.937928891429	-3795.682500492047	7.0	0.1	0.5968369258681061	1.0	0.4	0.04868837856355295
26000000	-4909.262909544409	-1121.183928447437	-3788.078981096972	8.0	0.1	0.576626456228957	1.0	0.4	0.034205916372450525
26200000	-4972.7329464673285	-1156.61991980806	-3816.113026659268	10.0	0.1	0.49757461486316673	1.0	0.4	0.05605040946765193
26400000	-4946.994987512631	-1140.8085804570228	-3806.186407055608	10.0	0.1	0.5389469754390663	1.0	0.4	0.05026176589464765
26600000	-4983.604831019405	-1168.0517583921	-3815.5530726273046	12.0	0.1	0.4816871287549639	1.0	0.4	0.06291928213833671
26800000	-4941.330487842221	-1150.4266563478545	-3790.903831494367	7.0	0.1	0.5220175697710424	1.0	0.4	0.04277765061904161
27000000	-4926.186631090835	-1124.1315464015674	-3802.0550846892675	9.0	0.1	0.5376385193581479	1.0	0.4	0.020982511897765295
27200000	-4961.427726242902	-1157.3705788073544	-3804.057147435548	9.0	0.1	0.5859428655866556	1.0	0.4	0.03517059201710525
27400000	-4933.680681822731	-1127.0607953251222	-3806.6198864976086	9.0	0.1	0.5100527317534294	1.0	0.4	0.06099303262400851
27600000	-4939.802331480165	-1128.2964108671267	-3811.505920613038	12.0	0.1	0.5220125232738874	1.0	0.4	0.05544021819150987
27800000	-4937.96100839909	-1145.7199381593086	-3792.241070239781	12.0	0.1	0.5557773065191721	1.0	0.4	0.05466181864859447
28000000	-4969.338911802953	-1159.6133458992517	-3809.725565903701	8.0	0.1	0.46763894222876495	1.0	0.4	0.059866826820447624
28200000	-4965.691909499426	-1155.2936080759218	-3810.398301423505	8.0	0.1	0.5477192736674578	1.0	0.4	0.028863353911345584
28400000	-4928.154738915084	-1121.5109199392523	-3806.6438189758314	9.0	0.1	0.563872838508058	1.0	0.4	0.04700206880058173
28600000	-4954.528786965693	-1142.9663484834932	-3811.5624384822	13.0	0.1	0.5601222464376292	1.0	0.4	0.04414994866112859
28800000	-4963.4151407565005	-1162.091444331228	-3801.3236964252724	12.0	0.1	0.5355488468342171	1.0	0.4	0.06170389379374193
29000000	-4891.807230469247	-1094.2325844621475	-3797.5746460070995	7.0	0.1	0.49131051979252155	1.0	0.4	0.0505905174262507
29200000	-4951.734551730435	-1135.0849038565116	-3816.6496478739236	12.0	0.1	0.4584561535568309	1.0	0.4	0.0312984205172448
29400000	-4933.053677930625	-1138.6970235554177	-3794.356654375207	11.0	0.1	0.543610911555898	1.0	0.4	0.08840564435137706
29600000	-4966.677033964323	-1160.7870674155124	-3805.8899665488098	14.0	0.1	0.4744551394280173	1.0	0.4	0.040437272656823633
29800000	-4931.53574301142	-1121.4719374094545	-3810.063805601965	10.0	0.1	0.5043733444645291	1.0	0.4	0.04341633608645058
30000000	-4938.671591965586	-1124.5686471608508	-3814.102944804735	9.0	0.1	0.5910416318042959	1.0	0.4	0.06240787177825296
30200000	-4962.018985251006	-1168.4115155624506	-3793.6074696885553	9.0	0.1	0.5864931478737844	1.0	0.4	0.06265239774087256
30400000	-4960.862893663694	-1155.8939099552772	-3804.9689837084175	9.0	0.1	0.5278288118100306	1.0	0.4	0.030727234098521367
30600000	-4929.346768521021	-1118.7458862589167	-3810.600882262104	7.0	0.1	0.5202010476298805	1.0	0.4	0.03830412546623894
30800000	-4916.046854070357	-1104.893897104545	-3811.1529569658114	9.0	0.1	0.5567063785273884	1.0	0.4	0.06288811796006186
31000000	-4948.08179758996	-1141.927307210952	-3806.1544903790077	10.0	0.1	0.5069677248788311	1.0	0.4	0.05123724860052351
31200000	-4981.21768795742	-1192.2369941274465	-3788.980693829974	15.0	0.1	0.5490386960059043	1.0	0.4	0.06528007338739393
31400000	-4938.049200612536	-1132.420389616937	-3805.628810995599	10.0	0.1	0.5981930131909806	1.0	0.4	0.05223616656668733
31600000	-4951.616095639138	-1140.7027382925485	-3810.913357346589	8.0	0.1	0.5429649089063828	1.0	0.4	0.05961671391790815
31800000	-4923.4933619392705	-1129.8473372368464	-3793.646024702424	10.0	0.1	0.520543764225369	1.0	0.4	0.04347517837558865
32000000	-4963.119161198614	-1147.8417443409228	-3815.277416857691	8.0	0.1	0.547571009907418	1.0	0.4	0.03716551251052882
32200000	-4986.2422367096815	-1171.4043603391365	-3814.837876370545	13.0	0.1	0.6191420435707351	1.0	0.4	0.06181820555897896
32400000	-4947.505106006904	-1140.458519368708	-3807.0465866381955	11.0	0.1	0.5286953993979843	1.0	0.4	0.0580604064881793
32600000	-4973.605979592597	-1165.835243752592	-3807.770735840005	13.0	0.1	0.5343961892604212	1.0	0.4	0.07597756232572574
32800000	-4962.537121629241	-1155.17360931782	-3807.363512311421	9.0	0.1	0.5236049118596474	1.0	0.4	0.061625760991726425
33000000	-4974.743474658416	-1156.5136476448633	-3818.2298270135525	17.0	0.1	0.5134851110688768	1.0	0.4	0.0617273673496711
33200000	-4959.5867257512855	-1159.1563118787856	-3800.4304138724997	6.0	0.1	0.5651597525514651	1.0	0.4	0.03587572997490432
33400000	-4899.912354800033	-1090.8114841191773	-3809.1008706808557	13.0	0.1	0.46846791794691955	1.0	0.4	0.06516824298137623
33600000	-4946.292682104249	-1130.3494500626684	-3815.9432320415813	7.0	0.1	0.5650306877701311	1.0	0.4	0.01859704235116829
33800000	-4915.340673257406	-1114.696346139256	-3800.6443271181492	9.0	0.1	0.5605097076667841	1.0	0.4	0.08136659235538377
34000000	-4966.054163718412	-1164.3372222051457	-3801.7169415132666	9.0	0.1	0.5059697292715838	1.0	0.4	0.04456181624582034
34200000	-4947.84499479771	-1127.789833285969	-3820.055161511741	12.0	0.1	0.5026479373913485	1.0	0.4	0.05553769677505524
34400000	-4981.14537353505	-1157.241558119747	-3823.9038154153027	9.0	0.1	0.48508636865946064	1.0	0.4	0.03801534042567221
34600000	-4967.9387429363205	-1160.5219242712928	-3807.4168186650277	20.0	0.1	0.5131374525320114	1.0	0.4	0.09650880646021866
34800000	-4997.3589707069705	-1174.3205900211212	-3823.0383806858495	18.0	0.1	0.4774956041231372	1.0	0.4	0.0933505102328442
35000000	-4923.22464222501	-1112.7495513117055	-3810.475090913305	10.0	0.1	0.5226352346638499	1.0	0.4	0.04429826470565539
35200000	-4923.738510914874	-1127.8430760007395	-3795.895434914134	12.0	0.1	0.5568301361470077	1.0	0.4	0.07478123993903188
35400000	-4938.295655393717	-1120.9855076444223	-3817.310147749295	13.0	0.1	0.5800789911206874	1.0	0.4	0.03741193864877293
35600000	-4931.9073268880275	-1133.0363247390915	-3798.8710021489355	12.0	0.1	0.5293540541445327	1.0	0.4	0.031364105370999
35800000	-4971.465808580117	-1155.761996118559	-3815.7038124615574	11.0	0.1	0.553893249236138	1.0	0.4	0.05464609138179592
36000000	-4945.673916491832	-1145.758633636363	-3799.915282855469	10.0	0.1	0.5550334433019627	1.0	0.4	0.031051815104640154
36200000	-4957.170050755113	-1155.5204467095289	-3801.6496040455845	7.0	0.1	0.5766072242640149	1.0	0.4	0.032830028304554955
36400000	-4930.888609306778	-1134.9939748988327	-3795.8946344079445	10.0	0.1	0.5546188334928324	1.0	0.4	0.07030916001857246
36600000	-4953.007696521157	-1138.8710963590113	-3814.1366001621464	8.0	0.1	0.5218391701458001	1.0	0.4	0.016394730460632116
36800000	-4936.540072641461	-1145.566169482462	-3790.9739031589993	12.0	0.1	0.5714041281709655	1.0	0.4	0.05679851661730409
37000000	-4956.819897360325	-1159.4380233907036	-3797.3818739696208	8.0	0.1	0.5277168473008504	1.0	0.4	0.05917392562582753
37200000	-4951.267266946819	-1140.8555763618574	-3810.411690584962	11.0	0.1	0.520148887546163	1.0	0.4	0.07224596890897404
37400000	-4962.759752549488	-1157.4188627825727	-3805.340889766916	8.0	0.1	0.5362674207050184	1.0	0.4	0.055903955153757304
37600000	-4955.020882042141	-1146.8063071897377	-3808.214574852404	11.0	0.1	0.507863058404048	1.0	0.4	0.06713724647441452
37800000	-4968.091364724928	-1151.6165526051598	-3816.474812119768	7.0	0.1	0.5956206899698446	1.0	0.4	0.042573061529869546
38000000	-4953.646857007379	-1139.726613760176	-3813.920243247203	10.0	0.1	0.5360524926508214	1.0	0.4	0.05714270604919869
38200000	-4939.265151915246	-1139.3889855075236	-3799.8761664077224	13.0	0.1	0.5263106899874044	1.0	0.4	0.03790948277011154
38400000	-4934.758082266401	-1126.5895287359397	-3808.1685535304614	9.0	0.1	0.5857639734392246	1.0	0.4	0.02979470171313924
38600000	-4941.8026179562685	-1134.6754570277594	-3807.127160928509	9.0	0.1	0.5422101209087105	1.0	0.4	0.03761592023789596
38800000	-4963.963963345199	-1155.6343414533083	-3808.329621891891	11.0	0.1	0.5538721571345836	1.0	0.4	0.03976430415121671
39000000	-4933.88352614113	-1126.5428633984277	-3807.340662742702	6.0	0.1	0.5640329440482702	1.0	0.4	0.01810917860428075
39200000	-4958.1634703912405	-1151.2276064762027	-3806.9358639150378	10.0	0.1	0.5703178399273643	1.0	0.4	0.02027833509266392
39400000	-4945.429205588043	-1144.1933602260037	-3801.235845362039	9.0	0.1	0.5469739145741911	1.0	0.4	0.04598416669474287
39600000	-4923.970475032567	-1120.280592689881	-3803.6898823426864	15.0	0.1	0.5823013244504954	1.0	0.4	0.05984656045617841
39800000	-4952.16908285596	-1131.0258799029393	-3821.143202953021	7.0	0.1	0.5398495561881064	1.0	0.4	0.021741712251539154
40000000	-4954.7964502861905	-1151.9296099585847	-3802.8668403276056	11.0	0.1	0.5903305690381612	1.0	0.4	0.06687133085372993
40200000	-4943.721939955397	-1136.665785823162	-3807.056154132235	14.0	0.1	0.5441287052830441	1.0	0.4	0.03810440967199322
40400000	-4936.534935031208	-1114.648210495462	-3821.886724535746	7.0	0.1	0.467457827563137	1.0	0.4	0.04133081602733219
40600000	-4927.850539596638	-1130.5865941576092	-3797.2639454390287	13.0	0.1	0.5496325838747145	1.0	0.4	0.07291387955053541
40800000	-4928.272461308887	-1125.3783858102784	-3802.894075498608	10.0	0.1	0.5723324952987356	1.0	0.4	0.06355040728945473
41000000	-4937.060737246631	-1126.139222302734	-3810.921514943897	7.0	0.1	0.5017078160690176	1.0	0.4	0.03672484151764861
41200000	-4929.98997010858	-1120.507248802381	-3809.4827213061985	9.0	0.1	0.5557047353377816	1.0	0.4	0.04138332026465279
41400000	-4942.612002312917	-1143.3081134314596	-3799.3038888814576	9.0	0.1	0.49946754215611666	1.0	0.4	0.03792648435384634
